NFE, Elapsed Time, Approximation Set, Population, Population Size
10, 0.920627081, "[[34.400000000000006,2.0]]", "[[38.6,2.0], [38.6,2.0], [36.5,2.0], [37.6,2.0], [37.6,2.0], [37.6,2.0], [38.6,2.0], [38.6,2.0], [36.5,2.0], [34.400000000000006,2.0]]", 10
20, 1.768187297, "[[34.400000000000006,2.0], [33.2,3.0]]", "[[34.400000000000006,2.0], [33.2,3.0], [33.2,3.0], [36.5,2.0], [34.3,3.0], [36.5,2.0], [34.3,3.0], [34.3,3.0], [37.6,2.0], [35.400000000000006,3.0]]", 10
30, 2.0475316390000002, "[[34.400000000000006,2.0], [31.0,4.0], [33.2,3.0]]", "[[34.400000000000006,2.0], [31.0,4.0], [33.2,3.0], [33.2,3.0], [36.5,2.0], [32.0,4.0], [34.3,3.0], [36.5,2.0], [34.3,3.0], [34.3,3.0]]", 10
40, 2.2468136810000003, "[[34.400000000000006,2.0], [31.0,4.0], [33.2,3.0]]", "[[34.400000000000006,2.0], [31.0,4.0], [33.2,3.0], [33.2,3.0], [31.0,4.0], [31.0,4.0], [31.0,4.0], [36.5,2.0], [32.0,4.0], [33.3,3.0]]", 10
50, 2.5811770160000003, "[[34.400000000000006,2.0], [29.9,5.0], [33.2,3.0], [31.0,4.0]]", "[[34.400000000000006,2.0], [29.9,5.0], [33.2,3.0], [31.0,4.0], [33.2,3.0], [31.0,4.0], [31.0,4.0], [31.0,4.0], [31.0,4.0], [31.0,4.0]]", 10
60, 2.767791562, "[[34.400000000000006,2.0], [28.8,5.0], [32.1,3.0], [31.0,4.0]]", "[[34.400000000000006,2.0], [28.8,5.0], [32.1,3.0], [31.0,4.0], [31.0,4.0], [31.0,4.0], [31.0,4.0], [31.0,4.0], [31.0,4.0], [33.2,3.0]]", 10
70, 2.8533085230000004, "[[34.400000000000006,2.0], [28.8,5.0], [32.1,3.0], [31.0,4.0]]", "[[34.400000000000006,2.0], [28.8,5.0], [32.1,3.0], [31.0,4.0], [31.0,4.0], [31.0,4.0], [31.0,4.0], [31.0,4.0], [31.0,4.0], [31.0,4.0]]", 10
80, 2.9560240290000004, "[[34.400000000000006,2.0], [27.6,6.0], [32.1,3.0], [28.8,5.0], [31.0,4.0]]", "[[34.400000000000006,2.0], [27.6,6.0], [32.1,3.0], [28.8,5.0], [31.0,4.0], [31.0,4.0], [31.0,4.0], [31.0,4.0], [31.0,4.0], [31.0,4.0]]", 10
90, 3.1861066360000003, "[[34.400000000000006,2.0], [26.5,7.0], [32.1,3.0], [28.8,5.0], [31.0,4.0], [27.6,6.0]]", "[[34.400000000000006,2.0], [26.5,7.0], [32.1,3.0], [28.8,5.0], [31.0,4.0], [27.6,6.0], [31.0,4.0], [31.0,4.0], [31.0,4.0], [31.0,4.0]]", 10
100, 3.336054717, "[[34.400000000000006,2.0], [26.5,7.0], [32.1,3.0], [28.8,5.0], [31.0,4.0], [27.6,6.0]]", "[[34.400000000000006,2.0], [26.5,7.0], [32.1,3.0], [28.8,5.0], [31.0,4.0], [27.6,6.0], [31.0,4.0], [31.0,4.0], [31.0,4.0], [31.0,4.0]]", 10
