NFE, Elapsed Time, Approximation Set, Population, Population Size
10, 8.021403916, "[[35.5,2.0]]", "[[38.6,2.0], [38.6,2.0], [38.6,2.0], [38.6,2.0], [38.6,2.0], [35.5,2.0], [37.6,2.0], [38.6,2.0], [38.6,2.0], [38.6,2.0]]", 10
20, 13.917180983000002, "[[35.5,2.0], [34.400000000000006,3.0]]", "[[35.5,2.0], [34.400000000000006,3.0], [37.6,2.0], [35.3,3.0], [38.6,2.0], [36.400000000000006,3.0], [38.6,2.0], [38.6,2.0], [38.6,2.0], [38.6,2.0]]", 10
30, 17.328066299, "[[35.5,2.0], [31.1,4.0], [34.400000000000006,3.0]]", "[[35.5,2.0], [31.1,4.0], [34.400000000000006,3.0], [37.6,2.0], [32.2,4.0], [35.3,3.0], [38.6,2.0], [34.3,4.0], [36.400000000000006,3.0], [38.6,2.0]]", 10
40, 20.482695160000002, "[[35.5,2.0], [31.0,5.0], [34.3,3.0], [31.1,4.0]]", "[[35.5,2.0], [31.0,5.0], [34.3,3.0], [31.1,4.0], [37.6,2.0], [32.2,4.0], [34.400000000000006,3.0], [32.2,4.0], [32.2,4.0], [38.6,2.0]]", 10
50, 21.462593209, "[[35.5,2.0], [29.9,5.0], [34.3,3.0], [31.1,4.0]]", "[[35.5,2.0], [29.9,5.0], [34.3,3.0], [31.1,4.0], [37.6,2.0], [29.9,6.0], [34.400000000000006,3.0], [32.2,4.0], [31.0,5.0], [32.2,4.0]]", 10
60, 22.031184419000002, "[[35.5,2.0], [27.700000000000003,6.0], [32.2,3.0], [28.9,5.0], [31.1,4.0]]", "[[35.5,2.0], [27.700000000000003,6.0], [32.2,3.0], [28.9,5.0], [31.1,4.0], [28.9,5.0], [27.700000000000003,6.0], [29.9,5.0], [37.6,2.0], [34.3,3.0]]", 10
70, 23.272757786000003, "[[35.5,2.0], [27.700000000000003,6.0], [32.2,3.0], [31.0,4.0], [28.9,5.0]]", "[[35.5,2.0], [27.700000000000003,6.0], [32.2,3.0], [31.0,4.0], [28.9,5.0], [28.9,5.0], [27.700000000000003,6.0], [27.700000000000003,6.0], [27.700000000000003,6.0], [27.700000000000003,6.0]]", 10
80, 24.091692231000003, "[[35.5,2.0], [25.5,7.0], [32.2,3.0], [31.0,4.0], [27.700000000000003,6.0], [28.8,5.0]]", "[[35.5,2.0], [25.5,7.0], [32.2,3.0], [31.0,4.0], [27.700000000000003,6.0], [28.8,5.0], [27.700000000000003,6.0], [27.700000000000003,6.0], [27.700000000000003,6.0], [27.700000000000003,6.0]]", 10
90, 24.663754475, "[[35.5,2.0], [25.5,7.0], [32.2,3.0], [31.0,4.0], [27.700000000000003,6.0], [28.8,5.0]]", "[[35.5,2.0], [25.5,7.0], [32.2,3.0], [31.0,4.0], [27.700000000000003,6.0], [28.8,5.0], [27.700000000000003,6.0], [27.700000000000003,6.0], [27.700000000000003,6.0], [27.700000000000003,6.0]]", 10
100, 26.174934292000003, "[[35.5,2.0], [25.4,8.0], [32.2,3.0], [31.0,4.0], [27.700000000000003,6.0], [28.8,5.0], [25.5,7.0]]", "[[35.5,2.0], [25.4,8.0], [32.2,3.0], [31.0,4.0], [27.700000000000003,6.0], [28.8,5.0], [25.5,7.0], [27.700000000000003,6.0], [27.700000000000003,6.0], [27.700000000000003,6.0]]", 10
