NFE, Elapsed Time, Approximation Set, Population, Population Size
72, 5.249923701, "[[0.0,-0.0], [139.0,-0.9829272513361086], [296.0,-1.544460952320657], [106.0,-0.7356101480176755]]", "[[0.0,-0.0], [136.0,-0.0], [121.0,-0.0], [0.0,-0.0], [0.0,-0.0], [134.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [149.0,-0.7853662757263524], [147.0,-0.0], [138.0,-0.0], [122.0,-0.0], [122.0,-0.30110728587030006], [139.0,-0.9829272513361086], [443.0,-0.3894758822159464], [0.0,-0.0], [469.0,-0.5776926517239586], [152.0,-0.0], [118.0,-0.30110728587030006], [416.0,-0.2765853658536585], [133.0,-0.0], [0.0,-0.0], [120.0,-0.668267373931735], [0.0,-0.0], [131.0,-0.668267373931735], [0.0,-0.0], [173.0,-0.0], [0.0,-0.0], [296.0,-1.544460952320657], [128.0,-0.0], [0.0,-0.0], [121.0,-0.0], [106.0,-0.7356101480176755], [163.0,-0.3099130434782609], [281.0,-0.2765853658536585], [130.0,-0.02348452857662905], [292.0,-0.0691865671641791], [0.0,-0.0], [161.0,-0.0], [389.0,-0.22104550418638513], [268.0,-0.0], [115.0,-0.0], [143.0,-0.0], [289.0,-0.3099130434782609], [0.0,-0.0], [169.0,-0.0], [157.0,-0.3099130434782609], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [152.0,-0.0], [168.0,-0.0], [133.0,-0.7356101480176755], [0.0,-0.0], [106.0,-0.1975609756097561], [488.0,-0.0691865671641791], [135.0,-0.0], [0.0,-0.0], [138.0,-0.0691865671641791], [143.0,-0.11289051636228795], [255.0,-0.9448527397853935], [179.0,-0.3099130434782609], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [138.0,-0.0691865671641791], [0.0,-0.0], [0.0,-0.0], [151.0,-0.0], [147.0,-0.7853662757263524]]", 72
144, 6.354185078, "[[0.0,-0.0], [296.0,-1.544460952320657], [139.0,-0.9829272513361086], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524]]", "[[0.0,-0.0], [296.0,-1.544460952320657], [139.0,-0.9829272513361086], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [255.0,-0.9448527397853935], [51.0,-0.0], [147.0,-0.7853662757263524], [106.0,-0.7356101480176755], [99.0,-0.3099130434782609], [62.0,-0.30110728587030006], [51.0,-0.0], [149.0,-0.7853662757263524], [53.0,-0.0], [118.0,-0.30110728587030006], [83.0,-0.2765853658536585], [120.0,-0.668267373931735], [74.0,-0.02348452857662905], [133.0,-0.7356101480176755], [53.0,-0.0], [53.0,-0.0], [53.0,-0.0], [53.0,-0.0], [54.0,-0.0], [184.0,-0.7356101480176755], [131.0,-0.668267373931735], [122.0,-0.30110728587030006], [84.0,-0.2128695652173913], [55.0,-0.0], [165.0,-0.668267373931735], [157.0,-0.3099130434782609], [106.0,-0.1975609756097561], [85.0,-0.0691865671641791], [89.0,-0.11289051636228795], [55.0,-0.0], [89.0,-0.11289051636228795], [55.0,-0.0], [85.0,-0.0691865671641791], [469.0,-0.5776926517239586], [56.0,-0.0], [163.0,-0.3099130434782609], [443.0,-0.3894758822159464], [143.0,-0.11289051636228795], [130.0,-0.02348452857662905], [138.0,-0.0691865671641791], [138.0,-0.0691865671641791], [56.0,-0.0], [56.0,-0.0]]", 72
216, 7.055932372, "[[0.0,-0.0], [296.0,-1.544460952320657], [139.0,-0.9829272513361086], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524]]", "[[0.0,-0.0], [296.0,-1.544460952320657], [139.0,-0.9829272513361086], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [255.0,-0.9448527397853935], [51.0,-0.0], [147.0,-0.7853662757263524], [106.0,-0.7356101480176755], [99.0,-0.3099130434782609], [62.0,-0.30110728587030006], [59.0,-0.1202067868504772], [51.0,-0.0], [51.0,-0.0], [149.0,-0.7853662757263524], [52.0,-0.0], [118.0,-0.30110728587030006], [83.0,-0.2765853658536585], [120.0,-0.668267373931735], [66.0,-0.07676865671641792], [133.0,-0.7356101480176755], [53.0,-0.0], [184.0,-0.7356101480176755], [131.0,-0.668267373931735], [122.0,-0.30110728587030006], [84.0,-0.2128695652173913], [74.0,-0.02348452857662905], [53.0,-0.0], [53.0,-0.0], [53.0,-0.0], [53.0,-0.0], [53.0,-0.0], [53.0,-0.0], [54.0,-0.0], [161.0,-0.668267373931735], [157.0,-0.3099130434782609], [106.0,-0.1975609756097561], [85.0,-0.0691865671641791], [89.0,-0.11289051636228795], [89.0,-0.11289051636228795]]", 72
288, 7.745436597, "[[0.0,-0.0], [296.0,-1.544460952320657], [139.0,-0.9829272513361086], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524]]", "[[0.0,-0.0], [296.0,-1.544460952320657], [139.0,-0.9829272513361086], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [255.0,-0.9448527397853935], [51.0,-0.0], [56.0,-0.668267373931735], [145.0,-0.7853662757263524], [106.0,-0.7356101480176755], [51.0,-0.0], [51.0,-0.0], [51.0,-0.0], [147.0,-0.7853662757263524], [52.0,-0.0], [99.0,-0.3099130434782609], [120.0,-0.668267373931735], [62.0,-0.30110728587030006], [59.0,-0.1202067868504772], [129.0,-0.7356101480176755], [149.0,-0.7853662757263524], [53.0,-0.0], [118.0,-0.30110728587030006], [83.0,-0.2765853658536585], [131.0,-0.668267373931735], [66.0,-0.07676865671641792], [133.0,-0.7356101480176755], [53.0,-0.0], [53.0,-0.0], [53.0,-0.0]]", 72
360, 8.517751948, "[[0.0,-0.0], [296.0,-1.544460952320657], [139.0,-0.9829272513361086], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524]]", "[[0.0,-0.0], [296.0,-1.544460952320657], [139.0,-0.9829272513361086], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [50.0,-0.1975609756097561], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755], [255.0,-0.9448527397853935], [51.0,-0.0], [56.0,-0.668267373931735], [145.0,-0.7853662757263524], [106.0,-0.7356101480176755], [51.0,-0.0], [51.0,-0.0], [51.0,-0.0], [51.0,-0.0], [56.0,-0.668267373931735], [147.0,-0.7853662757263524], [52.0,-0.0], [99.0,-0.3099130434782609], [120.0,-0.668267373931735], [62.0,-0.30110728587030006], [59.0,-0.1202067868504772], [129.0,-0.7356101480176755]]", 72
432, 9.082006785, "[[0.0,-0.0], [296.0,-1.544460952320657], [151.0,-1.0864735615966523], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [139.0,-0.9829272513361086]]", "[[0.0,-0.0], [296.0,-1.544460952320657], [151.0,-1.0864735615966523], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [139.0,-0.9829272513361086], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [50.0,-0.1975609756097561], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [51.0,-0.0], [341.0,-1.0952793192046133], [255.0,-0.9448527397853935], [56.0,-0.668267373931735], [145.0,-0.7853662757263524], [106.0,-0.7356101480176755], [51.0,-0.0], [51.0,-0.0], [51.0,-0.0], [51.0,-0.0]]", 72
504, 9.7127583, "[[0.0,-0.0], [296.0,-1.544460952320657], [151.0,-1.0864735615966523], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [139.0,-0.9829272513361086]]", "[[0.0,-0.0], [296.0,-1.544460952320657], [151.0,-1.0864735615966523], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [139.0,-0.9829272513361086], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [50.0,-0.1975609756097561], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [51.0,-0.0], [529.0,-1.544460952320657], [341.0,-1.0952793192046133], [255.0,-0.9448527397853935], [56.0,-0.668267373931735], [145.0,-0.7853662757263524]]", 72
576, 10.315720945, "[[0.0,-0.0], [296.0,-1.544460952320657], [151.0,-1.0864735615966523], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [139.0,-0.9829272513361086]]", "[[0.0,-0.0], [296.0,-1.544460952320657], [151.0,-1.0864735615966523], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [139.0,-0.9829272513361086], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [50.0,-0.1975609756097561], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0]]", 72
648, 10.917644628000001, "[[0.0,-0.0], [296.0,-1.544460952320657], [151.0,-1.0864735615966523], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [139.0,-0.9829272513361086]]", "[[0.0,-0.0], [296.0,-1.544460952320657], [151.0,-1.0864735615966523], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [139.0,-0.9829272513361086], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [50.0,-0.1975609756097561], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0]]", 72
720, 11.503940802, "[[0.0,-0.0], [296.0,-1.544460952320657], [151.0,-1.0864735615966523], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [139.0,-0.9829272513361086]]", "[[0.0,-0.0], [296.0,-1.544460952320657], [151.0,-1.0864735615966523], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [139.0,-0.9829272513361086], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [50.0,-0.1975609756097561], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0]]", 72
