NFE, Elapsed Time, Approximation Set, Population, Population Size
72, 1.800303607, "[[0.0,-0.0], [106.0,-0.1975609756097561], [118.0,-0.9693746598020351]]", "[[158.0,-0.11289051636228795], [148.0,-0.668267373931735], [168.0,-0.2765853658536585], [148.0,-0.0], [0.0,-0.0], [136.0,-0.3245918144469291], [0.0,-0.0], [282.0,-0.668267373931735], [0.0,-0.0], [131.0,-0.30110728587030006], [159.0,-0.02348452857662905], [0.0,-0.0], [289.0,-0.30110728587030006], [0.0,-0.0], [161.0,-0.0], [0.0,-0.0], [172.0,-0.0], [123.0,-0.0], [0.0,-0.0], [167.0,-0.0], [287.0,-0.0], [106.0,-0.1975609756097561], [142.0,-0.0], [145.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [159.0,-0.0], [149.0,-0.0], [118.0,-0.9693746598020351], [138.0,-0.0691865671641791], [143.0,-0.0], [0.0,-0.0], [177.0,-0.0], [0.0,-0.0], [135.0,-0.0], [0.0,-0.0], [0.0,-0.0], [414.0,-0.0], [0.0,-0.0], [314.0,-0.0], [301.0,-0.3245918144469291], [0.0,-0.0], [167.0,-0.0], [265.0,-0.7853662757263524], [306.0,-0.07676865671641792], [139.0,-0.668267373931735], [111.0,-0.0], [119.0,-0.07676865671641792], [164.0,-0.0691865671641791], [125.0,-0.1975609756097561], [159.0,-0.0], [247.0,-0.0], [176.0,-0.0], [0.0,-0.0], [131.0,-0.0], [151.0,-0.07676865671641792], [162.0,-0.7853662757263524], [161.0,-0.0], [173.0,-0.0], [136.0,-0.0], [0.0,-0.0], [158.0,-0.2765853658536585], [0.0,-0.0], [144.0,-0.0], [274.0,-0.0], [298.0,-0.07676865671641792], [295.0,-0.5074740190880169], [159.0,-0.0], [125.0,-0.0], [136.0,-0.0], [423.0,-0.7853662757263524]]", 72
144, 2.084389385, "[[0.0,-0.0], [118.0,-0.9693746598020351], [56.0,-0.668267373931735], [50.0,-0.1975609756097561]]", "[[0.0,-0.0], [118.0,-0.9693746598020351], [56.0,-0.668267373931735], [50.0,-0.1975609756097561], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [51.0,-0.0], [243.0,-0.8088508043029815], [162.0,-0.7853662757263524], [139.0,-0.668267373931735], [136.0,-0.3245918144469291], [62.0,-0.30110728587030006], [99.0,-0.3099130434782609], [62.0,-0.30110728587030006], [62.0,-0.30110728587030006], [62.0,-0.30110728587030006], [265.0,-0.7853662757263524], [53.0,-0.0], [131.0,-0.30110728587030006], [148.0,-0.668267373931735], [168.0,-0.7356101480176755], [84.0,-0.2128695652173913], [66.0,-0.07676865671641792], [53.0,-0.0], [53.0,-0.0], [423.0,-0.7853662757263524], [55.0,-0.0], [222.0,-0.7356101480176755], [158.0,-0.2765853658536585], [106.0,-0.1975609756097561], [89.0,-0.11289051636228795], [74.0,-0.02348452857662905], [55.0,-0.0], [74.0,-0.02348452857662905], [55.0,-0.0], [56.0,-0.0], [327.0,-0.691751902508364], [228.0,-0.668267373931735], [168.0,-0.2765853658536585], [119.0,-0.07676865671641792], [125.0,-0.1975609756097561], [56.0,-0.0], [282.0,-0.668267373931735], [58.0,-0.0], [166.0,-0.1202067868504772], [138.0,-0.0691865671641791], [151.0,-0.07676865671641792], [158.0,-0.11289051636228795], [343.0,-0.5139768510876914], [60.0,-0.0], [289.0,-0.30110728587030006], [164.0,-0.0691865671641791], [295.0,-0.5074740190880169], [159.0,-0.02348452857662905], [543.0,-0.3866817001946788], [61.0,-0.0]]", 72
216, 2.377043892, "[[0.0,-0.0], [118.0,-0.9693746598020351], [50.0,-0.1975609756097561], [56.0,-0.668267373931735], [89.0,-0.7853662757263524]]", "[[0.0,-0.0], [118.0,-0.9693746598020351], [50.0,-0.1975609756097561], [56.0,-0.668267373931735], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [51.0,-0.0], [243.0,-0.8088508043029815], [162.0,-0.7853662757263524], [139.0,-0.668267373931735], [136.0,-0.3245918144469291], [62.0,-0.30110728587030006], [99.0,-0.3099130434782609], [62.0,-0.30110728587030006], [62.0,-0.30110728587030006], [62.0,-0.30110728587030006], [99.0,-0.3099130434782609], [99.0,-0.3099130434782609], [265.0,-0.7853662757263524], [52.0,-0.0], [131.0,-0.30110728587030006], [168.0,-0.7356101480176755], [141.0,-0.668267373931735], [83.0,-0.2765853658536585], [66.0,-0.07676865671641792], [53.0,-0.0], [358.0,-0.7853662757263524], [148.0,-0.668267373931735], [84.0,-0.2128695652173913], [210.0,-0.7356101480176755], [74.0,-0.02348452857662905], [53.0,-0.0], [53.0,-0.0], [74.0,-0.02348452857662905], [74.0,-0.02348452857662905], [84.0,-0.2128695652173913], [74.0,-0.02348452857662905], [74.0,-0.02348452857662905], [423.0,-0.7853662757263524], [54.0,-0.0], [222.0,-0.7356101480176755], [195.0,-0.30110728587030006]]", 72
288, 2.64127028, "[[0.0,-0.0], [446.0,-1.3466304773662365], [118.0,-0.9693746598020351], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524]]", "[[0.0,-0.0], [446.0,-1.3466304773662365], [118.0,-0.9693746598020351], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [51.0,-0.0], [372.0,-0.9055730625768297], [56.0,-0.668267373931735], [243.0,-0.8088508043029815], [162.0,-0.7853662757263524], [56.0,-0.668267373931735], [56.0,-0.668267373931735], [52.0,-0.0], [480.0,-0.9055730625768297], [265.0,-0.7853662757263524], [123.0,-0.668267373931735], [99.0,-0.3099130434782609], [162.0,-0.7356101480176755], [59.0,-0.1202067868504772], [62.0,-0.30110728587030006], [62.0,-0.30110728587030006], [62.0,-0.30110728587030006], [62.0,-0.30110728587030006], [99.0,-0.3099130434782609], [99.0,-0.3099130434782609], [53.0,-0.0], [338.0,-0.7853662757263524], [168.0,-0.7356101480176755]]", 72
360, 2.920775599, "[[0.0,-0.0], [362.0,-1.4536336496580873], [118.0,-0.9693746598020351], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524]]", "[[0.0,-0.0], [362.0,-1.4536336496580873], [118.0,-0.9693746598020351], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [50.0,-0.1975609756097561], [0.0,-0.0], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [50.0,-0.1975609756097561], [0.0,-0.0], [446.0,-1.3466304773662365], [51.0,-0.0], [299.0,-0.9055730625768297], [56.0,-0.668267373931735], [243.0,-0.8088508043029815], [133.0,-0.7356101480176755], [162.0,-0.7853662757263524], [56.0,-0.668267373931735], [56.0,-0.668267373931735], [51.0,-0.0], [372.0,-0.9055730625768297], [52.0,-0.0], [177.0,-0.7853662757263524], [123.0,-0.668267373931735], [99.0,-0.3099130434782609]]", 72
432, 3.2038112940000003, "[[0.0,-0.0], [362.0,-1.4536336496580873], [118.0,-0.9693746598020351], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524]]", "[[0.0,-0.0], [362.0,-1.4536336496580873], [118.0,-0.9693746598020351], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [50.0,-0.1975609756097561], [0.0,-0.0], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [50.0,-0.1975609756097561], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [0.0,-0.0], [89.0,-0.7853662757263524], [50.0,-0.1975609756097561], [446.0,-1.3466304773662365], [51.0,-0.0], [299.0,-0.9055730625768297], [56.0,-0.668267373931735], [243.0,-0.8088508043029815]]", 72
504, 3.5293959740000003, "[[0.0,-0.0], [362.0,-1.4536336496580873], [189.0,-1.4038775219494106], [118.0,-0.9693746598020351], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524]]", "[[0.0,-0.0], [362.0,-1.4536336496580873], [189.0,-1.4038775219494106], [118.0,-0.9693746598020351], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [50.0,-0.1975609756097561], [0.0,-0.0], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [50.0,-0.1975609756097561], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [0.0,-0.0], [89.0,-0.7853662757263524], [50.0,-0.1975609756097561], [50.0,-0.1975609756097561], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755], [0.0,-0.0]]", 72
576, 3.9369834920000004, "[[0.0,-0.0], [362.0,-1.4536336496580873], [189.0,-1.4038775219494106], [118.0,-0.9693746598020351], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524]]", "[[0.0,-0.0], [362.0,-1.4536336496580873], [189.0,-1.4038775219494106], [118.0,-0.9693746598020351], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [50.0,-0.1975609756097561], [0.0,-0.0], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [50.0,-0.1975609756097561], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [0.0,-0.0], [89.0,-0.7853662757263524], [50.0,-0.1975609756097561], [50.0,-0.1975609756097561], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755], [0.0,-0.0]]", 72
648, 4.285752550000001, "[[0.0,-0.0], [453.0,-1.520976423744028], [189.0,-1.4038775219494106], [362.0,-1.4536336496580873], [118.0,-0.9693746598020351], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524]]", "[[0.0,-0.0], [453.0,-1.520976423744028], [189.0,-1.4038775219494106], [362.0,-1.4536336496580873], [118.0,-0.9693746598020351], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [50.0,-0.1975609756097561], [0.0,-0.0], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [50.0,-0.1975609756097561], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [0.0,-0.0], [89.0,-0.7853662757263524], [50.0,-0.1975609756097561], [50.0,-0.1975609756097561], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755]]", 72
720, 4.549852515, "[[0.0,-0.0], [453.0,-1.520976423744028], [189.0,-1.4038775219494106], [362.0,-1.4536336496580873], [118.0,-0.9693746598020351], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524]]", "[[0.0,-0.0], [453.0,-1.520976423744028], [189.0,-1.4038775219494106], [362.0,-1.4536336496580873], [118.0,-0.9693746598020351], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [50.0,-0.1975609756097561], [0.0,-0.0], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [50.0,-0.1975609756097561], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [0.0,-0.0], [89.0,-0.7853662757263524], [50.0,-0.1975609756097561], [50.0,-0.1975609756097561], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755]]", 72
