NFE, Elapsed Time, Approximation Set, Population, Population Size
40, 2.171552637, "[[0.0,0.0][117.0,0.0]]", "[[0.9486832980505135,1.4142135623730951][117.0,0.0], [0.0,0.0][117.0,0.0], [2.469817807045694,0.0][117.0,0.0], [2.469817807045694,2.8284271247461903][117.0,0.0], [0.0,4.949747468305833][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [2.2135943621178655,3.5355339059327378][117.0,0.0], [1.9364916731037087,3.5355339059327378][117.0,0.0], [1.6278820596099706,1.4142135623730951][117.0,0.0], [0.0,0.0][118.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [2.4698178070456938,4.949747468305833][117.0,0.0], [0.0,0.0][117.0,0.0], [2.6267851073127395,2.8284271247461903][117.0,0.0], [1.6278820596099706,1.4142135623730951][117.0,0.0], [0.0,0.0][117.0,0.0], [1.1618950038622249,4.949747468305833][117.0,0.0], [0.0,0.0][117.0,0.0], [1.6278820596099708,2.8284271247461903][117.0,0.0], [0.6324555320336759,1.4142135623730951][117.0,0.0], [2.469817807045694,1.4142135623730951][117.0,0.0], [0.0,0.0][117.0,0.0], [1.6278820596099706,3.5355339059327378][117.0,0.0], [0.0,0.0][117.0,0.0], [1.161895003862225,4.949747468305833][117.0,0.0], [0.0,0.0][117.0,0.0], [1.6278820596099706,3.5355339059327378][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [1.9364916731037087,3.5355339059327378][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [0.6324555320336759,0.0][117.0,0.0], [1.6278820596099706,0.0][117.0,0.0], [0.0,0.0][117.0,0.0]]", 40
80, 2.3599045640000003, "[[0.0,0.0][116.0,0.0]]", "[[0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [2.9832867780352594,0.0][116.0,0.0], [0.9486832980505137,3.5355339059327378][116.0,0.0], [1.161895003862225,0.7071067811865476][116.0,0.0], [0.9486832980505137,10.606601717798213][116.0,0.0], [2.313006701244076,0.7071067811865476][116.0,0.0], [1.449137674618944,3.605551275463989][116.0,0.0], [2.0069378790542514,1.1547005383792515][116.0,0.0], [1.532970971675589,2.1213203435596424][116.0,0.0], [2.8460498941515415,0.7071067811865476][116.0,0.0], [1.532970971675589,2.8284271247461903][116.0,0.0], [3.1622776601683795,1.4142135623730951][116.0,0.0], [1.5329709716755893,3.5355339059327378][116.0,0.0], [2.4494897427831783,3.5355339059327378][116.0,0.0], [1.5329709716755893,4.242640687119285][116.0,0.0], [1.7748239349298849,5.656854249492381][116.0,0.0], [2.4698178070456946,3.5355339059327378][116.0,0.0], [2.1563858652847827,4.242640687119285][116.0,0.0], [2.5298221281347035,3.5355339059327378][116.0,0.0], [2.5298221281347035,4.242640687119285][116.0,0.0], [3.0659419433511785,3.5355339059327378][116.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0]]", 40
120, 2.653316298, "[[0.0,0.0][115.0,0.0]]", "[[0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.9219544457292886,12.727922061357855][115.0,0.0], [1.284523257866513,0.0][115.0,0.0], [1.0723805294763609,1.4142135623730951][115.0,0.0], [1.66332999331662,2.081665999466133][115.0,0.0], [2.1447610589527217,0.7071067811865476][115.0,0.0], [1.760681686165901,4.242640687119285][115.0,0.0], [2.6739483914241875,0.7071067811865476][115.0,0.0], [2.179449471770337,1.4142135623730951][115.0,0.0], [2.0371548787463363,7.7781745930520225][115.0,0.0], [2.8460498941515415,0.7071067811865476][115.0,0.0], [2.62678510731274,1.4142135623730951][115.0,0.0], [2.335722436584782,4.041451884327381][115.0,0.0], [2.0856653614614213,6.363961030678928][115.0,0.0], [2.313006701244076,5.656854249492381][115.0,0.0], [2.889636655359978,0.7071067811865476][115.0,0.0], [2.0856653614614213,9.899494936611665][115.0,0.0], [3.3763886032268267,4.242640687119285][115.0,0.0], [2.4698178070456946,11.313708498984761][115.0,0.0], [3.4785054261852175,7.7781745930520225][115.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0]]", 40
160, 2.8204189590000004, "[[0.0,0.0][114.0,0.0]]", "[[0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.8660254037844386,3.5355339059327378][114.0,0.0], [2.0371548787463363,0.0][114.0,0.0], [1.5491933384829668,0.5773502691896258][114.0,0.0], [0.8660254037844386,3.5355339059327378][114.0,0.0], [2.8460498941515415,0.0][114.0,0.0], [1.3784048752090223,16.263455967290593][114.0,0.0], [1.449137674618944,8.48528137423857][114.0,0.0], [1.8885620632287061,5.291502622129181][114.0,0.0], [2.1832697191750423,0.5773502691896257][114.0,0.0], [1.8885620632287061,5.291502622129181][114.0,0.0], [2.4494897427831783,1.4142135623730951][114.0,0.0], [1.61245154965971,9.899494936611665][114.0,0.0], [2.1563858652847827,6.363961030678928][114.0,0.0], [2.347539508142184,3.055050463303893][114.0,0.0], [1.6278820596099706,11.313708498984761][114.0,0.0], [2.359378449224852,3.7859388972001824][114.0,0.0], [2.32379000772445,8.48528137423857][114.0,0.0], [2.0615528128088303,13.435028842544403][114.0,0.0], [2.673948391424188,4.949747468305833][114.0,0.0], [3.263433774416144,9.899494936611665][114.0,0.0], [3.413209633175202,16.263455967290593][114.0,0.0], [5.059644256269407,9.899494936611665][114.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0]]", 40
200, 2.979135227, "[[0.0,0.0][113.0,0.0]]", "[[0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.8899651879287578,2.5166114784235836][113.0,0.0], [1.852925614624973,0.0][113.0,0.0], [1.1832159566199236,7.937253933193772][113.0,0.0], [2.0371548787463363,0.7071067811865476][113.0,0.0], [1.6278820596099706,7.0710678118654755][113.0,0.0], [1.9525789189432998,3.304037933599835][113.0,0.0], [1.1857616409257417,8.736894948054104][113.0,0.0], [2.0950006642489516,1.0][113.0,0.0], [1.3165611772087669,9.865765724632494][113.0,0.0], [3.2015621187164243,1.4142135623730951][113.0,0.0], [2.179449471770337,4.242640687119285][113.0,0.0], [2.345207879911715,2.1213203435596424][113.0,0.0], [2.2455914913151,3.304037933599835][113.0,0.0], [2.418677324489565,2.1213203435596424][113.0,0.0], [1.774823934929885,12.020815280171307][113.0,0.0], [2.313006701244076,7.0710678118654755][113.0,0.0], [4.2895221179054435,3.5355339059327378][113.0,0.0], [2.32379000772445,23.33452377915607][113.0,0.0], [2.529822128134704,16.97056274847714][113.0,0.0], [2.418677324489565,18.384776310850235][113.0,0.0], [3.788139384975162,18.384776310850235][113.0,0.0], [3.478505426185217,19.091883092036785][113.0,0.0], [3.556683848755748,19.79898987322333][113.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0]]", 40
240, 3.120160807, "[[0.0,0.0][112.0,0.0]]", "[[0.0,0.0][112.0,0.0], [0.0,0.0][112.0,0.0], [0.0,0.0][112.0,0.0], [0.0,0.0][112.0,0.0], [0.0,0.0][112.0,0.0], [0.0,0.0][112.0,0.0], [0.0,0.0][112.0,0.0], [3.1859064644147983,0.0][112.0,0.0], [0.7500143186859358,5.0][112.0,0.0], [1.3165611772087669,0.5773502691896257][112.0,0.0], [1.1857616409257417,6.244997998398398][112.0,0.0], [3.4423828956117015,1.4142135623730951][112.0,0.0], [1.7466375520172481,2.516611478423583][112.0,0.0], [2.7202941017470885,2.8284271247461903][112.0,0.0], [1.199511835392379,8.386497083606082][112.0,0.0], [3.3391615714128,6.363961030678928][112.0,0.0], [1.264911064067352,9.539392014169456][112.0,0.0], [1.4238682187289025,9.29157324317757][112.0,0.0], [1.5,19.091883092036785][112.0,0.0], [3.6606010435446255,6.363961030678928][112.0,0.0], [1.9748417658131503,15.01110699893027][112.0,0.0], [2.4494897427831783,12.727922061357855][112.0,0.0], [3.0166206257996713,9.899494936611665][112.0,0.0], [3.5142566781611158,8.48528137423857][112.0,0.0], [1.9763680500076164,15.01110699893027][112.0,0.0], [5.291502622129181,7.7781745930520225][112.0,0.0], [3.368976105584603,11.313708498984761][112.0,0.0], [4.080441152620633,9.192388155425117][112.0,0.0], [3.40587727318528,16.263455967290593][112.0,0.0], [2.3769728648009427,19.091883092036785][112.0,0.0], [3.660601043544625,16.263455967290593][112.0,0.0], [3.4423828956117015,17.67766952966369][112.0,0.0], [3.5213633723318023,20.506096654409877][112.0,0.0], [3.9874804074753776,23.33452377915607][112.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0]]", 40
280, 3.277051461, "[[0.0,0.0][111.0,0.0]]", "[[0.0,0.0][111.0,0.0], [0.0,0.0][111.0,0.0], [0.0,0.0][111.0,0.0], [0.0,0.0][111.0,0.0], [0.0,0.0][111.0,0.0], [1.175432587844795,1.7320508075688772][111.0,0.0], [0.9846550421389726,4.509249752822894][111.0,0.0], [1.6706799256641522,13.0][111.0,0.0], [4.283689998120779,2.8284271247461903][111.0,0.0], [2.2599723884803975,2.8867513459481287][111.0,0.0], [1.8027756377319946,16.263455967290593][111.0,0.0], [3.82099463490856,4.949747468305833][111.0,0.0], [2.8896366553599777,10.606601717798213][111.0,0.0], [1.9850480859518207,15.588457268119896][111.0,0.0], [2.966386146256738,5.291502622129181][111.0,0.0], [2.932575659723036,7.7781745930520225][111.0,0.0], [2.1026392116099535,16.862186493255653][111.0,0.0], [5.329165037789691,11.313708498984761][111.0,0.0], [3.6742346141747673,12.727922061357855][111.0,0.0], [3.082207001484488,14.142135623730951][111.0,0.0], [2.5298221281347035,16.263455967290593][111.0,0.0], [2.2693611435820435,19.091883092036785][111.0,0.0], [3.138470965295043,16.263455967290593][111.0,0.0], [2.6645825188948455,19.091883092036785][111.0,0.0], [3.892300091205713,19.091883092036785][111.0,0.0], [2.765863337187866,23.33452377915607][111.0,0.0], [3.4132096331752027,24.041630560342615][111.0,0.0], [3.2171415884290826,27.577164466275352][111.0,0.0], [0.0,0.0][112.0,0.0], [0.0,0.0][112.0,0.0], [0.0,0.0][112.0,0.0], [0.0,0.0][112.0,0.0], [0.0,0.0][112.0,0.0], [0.0,0.0][112.0,0.0], [0.0,0.0][112.0,0.0], [3.1859064644147983,0.0][112.0,0.0], [0.7500143186859358,5.0][112.0,0.0], [1.3165611772087669,0.5773502691896257][112.0,0.0], [1.1857616409257417,5.5677643628300215][112.0,0.0], [1.6278820596099708,1.4142135623730951][112.0,0.0]]", 40
320, 3.503428918, "[[0.0,0.0][110.0,0.0]]", "[[0.0,0.0][110.0,0.0], [0.0,0.0][110.0,0.0], [0.0,0.0][110.0,0.0], [1.531278209916693,3.7416573867739413][110.0,0.0], [1.0371640805940472,4.654746681256314][110.0,0.0], [2.626597124220193,5.259911279353167][110.0,0.0], [1.2403909136156963,7.211102550927978][110.0,0.0], [2.3565941515833497,6.557438524302][110.0,0.0], [1.4434817169808507,16.165807537309522][110.0,0.0], [3.3476965200796944,7.211102550927978][110.0,0.0], [2.2211108331943574,7.3711147958319945][110.0,0.0], [1.5096388857812384,11.436782764396638][110.0,0.0], [1.4719601443879744,13.279056191361393][110.0,0.0], [3.119829055146024,8.326663997864532][110.0,0.0], [1.6703889803880427,12.579745625409124][110.0,0.0], [2.7658633371878665,10.606601717798213][110.0,0.0], [2.144850896759788,15.631165450257807][110.0,0.0], [2.407379627824686,13.228756555322953][110.0,0.0], [5.490901565316939,13.435028842544403][110.0,0.0], [2.756809750418044,18.384776310850235][110.0,0.0], [2.974894956128703,16.263455967290593][110.0,0.0], [5.490901565316939,13.435028842544403][110.0,0.0], [5.599107071667768,14.849242404917497][110.0,0.0], [0.0,0.0][111.0,0.0], [0.0,0.0][111.0,0.0], [0.0,0.0][111.0,0.0], [0.0,0.0][111.0,0.0], [0.0,0.0][111.0,0.0], [0.0,0.0][111.0,0.0], [0.0,0.0][111.0,0.0], [0.0,0.0][111.0,0.0], [1.175432587844795,1.7320508075688772][111.0,0.0], [0.9846550421389726,4.509249752822894][111.0,0.0], [4.283689998120779,2.8284271247461903][111.0,0.0], [0.9999999999999999,8.48528137423857][111.0,0.0], [2.2599723884803975,2.8867513459481287][111.0,0.0], [4.283689998120779,2.8284271247461903][111.0,0.0], [1.6706799256641522,13.0][111.0,0.0], [3.82099463490856,4.949747468305833][111.0,0.0], [1.8027756377319946,9.192388155425117][111.0,0.0]]", 40
360, 3.7331327, "[[0.0,0.0][109.0,0.0]]", "[[0.0,0.0][109.0,0.0], [0.0,0.0][109.0,0.0], [0.96066159920995,10.990905331227268][109.0,0.0], [1.4290929330934297,3.2710854467592254][109.0,0.0], [1.2679626380791513,6.082762530298219][109.0,0.0], [1.396168633582988,10.48173013708456][109.0,0.0], [1.8146840115663925,6.2915286960589585][109.0,0.0], [1.9016075611755843,6.2915286960589585][109.0,0.0], [1.688194301613413,15.556349186104045][109.0,0.0], [1.7868889533377308,11.5][109.0,0.0], [1.9549766640160269,7.571877794400365][109.0,0.0], [4.070217029430577,8.504900548115382][109.0,0.0], [1.9908885770551312,10.969655114602888][109.0,0.0], [4.06201920231798,10.214368964029708][109.0,0.0], [4.483302354291979,10.214368964029708][109.0,0.0], [5.599107071667768,15.556349186104045][109.0,0.0], [6.111464636239009,15.556349186104045][109.0,0.0], [6.070420084310475,39.59797974644666][109.0,0.0], [6.115553940568262,38.18376618407357][109.0,0.0], [0.0,0.0][110.0,0.0], [0.0,0.0][110.0,0.0], [0.0,0.0][110.0,0.0], [0.0,0.0][110.0,0.0], [0.0,0.0][110.0,0.0], [0.0,0.0][110.0,0.0], [0.0,0.0][110.0,0.0], [0.0,0.0][110.0,0.0], [0.0,0.0][110.0,0.0], [0.0,0.0][110.0,0.0], [1.531278209916693,3.7416573867739413][110.0,0.0], [1.0371640805940472,4.654746681256314][110.0,0.0], [2.626597124220193,5.259911279353167][110.0,0.0], [1.0723805294763609,6.363961030678928][110.0,0.0], [1.2403909136156963,7.211102550927978][110.0,0.0], [2.3565941515833497,6.557438524302][110.0,0.0], [2.626597124220193,7.047458170621991][110.0,0.0], [1.2403909136156963,7.54983443527075][110.0,0.0], [2.2211108331943574,7.3711147958319945][110.0,0.0], [1.4434817169808507,16.165807537309522][110.0,0.0], [3.3476965200796944,7.211102550927978][110.0,0.0]]", 40
400, 3.967212523, "[[0.0,0.0][108.0,0.0]]", "[[0.0,0.0][108.0,0.0], [0.810010883668401,9.72967967955095][108.0,0.0], [1.4082682477277764,3.361547262794322][108.0,0.0], [1.213904875318124,6.377042156569663][108.0,0.0], [1.3210978101445192,10.400320507881796][108.0,0.0], [1.415282773626468,4.024922359499621][108.0,0.0], [1.3943490290947809,6.377042156569663][108.0,0.0], [1.5361007206593658,10.232301793829187][108.0,0.0], [1.8383180141167546,5.848076606885378][108.0,0.0], [1.7433353140255794,6.658328118479393][108.0,0.0], [1.845355862506518,5.848076606885378][108.0,0.0], [2.1839036143185635,9.142392101268317][108.0,0.0], [3.469537909305122,8.616843969807043][108.0,0.0], [3.6968255596533552,8.616843969807043][108.0,0.0], [3.3056206075463566,10.082988974836116][108.0,0.0], [3.8210620876419017,9.556847457887633][108.0,0.0], [4.315991433942999,30.088757590391353][108.0,0.0], [5.979130371550699,9.899494936611665][108.0,0.0], [4.701063709417263,12.165525060596439][108.0,0.0], [6.29285308902091,15.556349186104045][108.0,0.0], [5.181698563212646,19.091883092036785][108.0,0.0], [5.253570214625479,16.263455967290593][108.0,0.0], [5.490901565316938,19.091883092036785][108.0,0.0], [5.787918451395113,43.1335136523794][108.0,0.0], [0.0,0.0][109.0,0.0], [0.0,0.0][109.0,0.0], [0.0,0.0][109.0,0.0], [0.0,0.0][109.0,0.0], [0.96066159920995,10.990905331227268][109.0,0.0], [1.4290929330934297,3.2710854467592254][109.0,0.0], [1.0704397964134897,4.08656334834051][109.0,0.0], [1.2679626380791513,6.082762530298219][109.0,0.0], [1.7572189333536714,5.560275772537426][109.0,0.0], [4.408325456829763,5.8594652770823155][109.0,0.0], [1.2679626380791513,6.244997998398398][109.0,0.0], [1.396168633582988,10.48173013708456][109.0,0.0], [1.8146840115663925,6.2915286960589585][109.0,0.0], [1.9016075611755843,6.2915286960589585][109.0,0.0], [1.688194301613413,15.556349186104045][109.0,0.0], [1.7868889533377308,11.5][109.0,0.0]]", 40
