batch-id,duration,o-ContentSize,o-Transformations,solutions-found,solution-model
7,00:00:24.006,34.400000000000006,2.0,6,/home/alxbrd/projects/alxbrd/github/case_studies/refactoring/mdeo/refactoring/mdeo-results/experiment-refactoring_model_a.mopt-181102-140848-matching-henshin/batch-7/6D0C934D.xmi
7,00:00:24.006,25.5,7.0,6,/home/alxbrd/projects/alxbrd/github/case_studies/refactoring/mdeo/refactoring/mdeo-results/experiment-refactoring_model_a.mopt-181102-140848-matching-henshin/batch-7/596132F4.xmi
7,00:00:24.006,32.1,3.0,6,/home/alxbrd/projects/alxbrd/github/case_studies/refactoring/mdeo/refactoring/mdeo-results/experiment-refactoring_model_a.mopt-181102-140848-matching-henshin/batch-7/470FAED8.xmi
7,00:00:24.006,29.9,4.0,6,/home/alxbrd/projects/alxbrd/github/case_studies/refactoring/mdeo/refactoring/mdeo-results/experiment-refactoring_model_a.mopt-181102-140848-matching-henshin/batch-7/571251BD.xmi
7,00:00:24.006,27.700000000000003,5.0,6,/home/alxbrd/projects/alxbrd/github/case_studies/refactoring/mdeo/refactoring/mdeo-results/experiment-refactoring_model_a.mopt-181102-140848-matching-henshin/batch-7/5E8D26E9.xmi
7,00:00:24.006,26.6,6.0,6,/home/alxbrd/projects/alxbrd/github/case_studies/refactoring/mdeo/refactoring/mdeo-results/experiment-refactoring_model_a.mopt-181102-140848-matching-henshin/batch-7/0EAB595E.xmi
8,00:00:05.924,34.400000000000006,2.0,6,/home/alxbrd/projects/alxbrd/github/case_studies/refactoring/mdeo/refactoring/mdeo-results/experiment-refactoring_model_a.mopt-181102-140848-matching-henshin/batch-8/120A6535.xmi
8,00:00:05.924,25.5,7.0,6,/home/alxbrd/projects/alxbrd/github/case_studies/refactoring/mdeo/refactoring/mdeo-results/experiment-refactoring_model_a.mopt-181102-140848-matching-henshin/batch-8/64ED41EE.xmi
8,00:00:05.924,32.1,3.0,6,/home/alxbrd/projects/alxbrd/github/case_studies/refactoring/mdeo/refactoring/mdeo-results/experiment-refactoring_model_a.mopt-181102-140848-matching-henshin/batch-8/06405D98.xmi
8,00:00:05.924,29.9,4.0,6,/home/alxbrd/projects/alxbrd/github/case_studies/refactoring/mdeo/refactoring/mdeo-results/experiment-refactoring_model_a.mopt-181102-140848-matching-henshin/batch-8/3DEC57C8.xmi
8,00:00:05.924,27.700000000000003,5.0,6,/home/alxbrd/projects/alxbrd/github/case_studies/refactoring/mdeo/refactoring/mdeo-results/experiment-refactoring_model_a.mopt-181102-140848-matching-henshin/batch-8/7C0EBE8D.xmi
8,00:00:05.924,26.6,6.0,6,/home/alxbrd/projects/alxbrd/github/case_studies/refactoring/mdeo/refactoring/mdeo-results/experiment-refactoring_model_a.mopt-181102-140848-matching-henshin/batch-8/726272D3.xmi
9,00:00:07.155,35.400000000000006,2.0,7,/home/alxbrd/projects/alxbrd/github/case_studies/refactoring/mdeo/refactoring/mdeo-results/experiment-refactoring_model_a.mopt-181102-140848-matching-henshin/batch-9/412125D0.xmi
9,00:00:07.155,25.4,8.0,7,/home/alxbrd/projects/alxbrd/github/case_studies/refactoring/mdeo/refactoring/mdeo-results/experiment-refactoring_model_a.mopt-181102-140848-matching-henshin/batch-9/65A306F3.xmi
9,00:00:07.155,32.2,3.0,7,/home/alxbrd/projects/alxbrd/github/case_studies/refactoring/mdeo/refactoring/mdeo-results/experiment-refactoring_model_a.mopt-181102-140848-matching-henshin/batch-9/74410F3D.xmi
9,00:00:07.155,31.0,4.0,7,/home/alxbrd/projects/alxbrd/github/case_studies/refactoring/mdeo/refactoring/mdeo-results/experiment-refactoring_model_a.mopt-181102-140848-matching-henshin/batch-9/758B0D9D.xmi
9,00:00:07.155,27.700000000000003,6.0,7,/home/alxbrd/projects/alxbrd/github/case_studies/refactoring/mdeo/refactoring/mdeo-results/experiment-refactoring_model_a.mopt-181102-140848-matching-henshin/batch-9/3D4CB959.xmi
9,00:00:07.155,28.8,5.0,7,/home/alxbrd/projects/alxbrd/github/case_studies/refactoring/mdeo/refactoring/mdeo-results/experiment-refactoring_model_a.mopt-181102-140848-matching-henshin/batch-9/4025B49D.xmi
9,00:00:07.155,25.5,7.0,7,/home/alxbrd/projects/alxbrd/github/case_studies/refactoring/mdeo/refactoring/mdeo-results/experiment-refactoring_model_a.mopt-181102-140848-matching-henshin/batch-9/3CE17343.xmi
