NFE, Elapsed Time, Approximation Set, Population, Population Size
57, 0.9258223050000001, "[[0.0,-0.0], [121.0,-0.7356101480176755], [142.0,-1.520976423744028], [107.0,-0.668267373931735]]", "[[0.0,-0.0], [0.0,-0.0], [252.0,-0.0], [0.0,-0.0], [121.0,-0.7356101480176755], [125.0,-0.0], [114.0,-0.0], [0.0,-0.0], [158.0,-0.07676865671641792], [0.0,-0.0], [119.0,-0.0], [428.0,-0.0691865671641791], [132.0,-0.0], [0.0,-0.0], [168.0,-0.3099130434782609], [146.0,-0.0], [0.0,-0.0], [146.0,-0.0], [149.0,-0.0], [299.0,-0.0], [161.0,-0.0], [0.0,-0.0], [0.0,-0.0], [160.0,-0.0], [169.0,-0.0], [0.0,-0.0], [252.0,-0.8047967151818547], [0.0,-0.0], [0.0,-0.0], [142.0,-1.520976423744028], [119.0,-0.0], [145.0,-0.0], [145.0,-0.0], [155.0,-0.0], [0.0,-0.0], [177.0,-0.11289051636228795], [0.0,-0.0], [164.0,-0.0], [123.0,-0.0], [117.0,-0.0], [130.0,-0.0], [130.0,-0.30110728587030006], [0.0,-0.0], [127.0,-0.0], [154.0,-0.0], [0.0,-0.0], [0.0,-0.0], [298.0,-0.2765853658536585], [158.0,-0.0], [151.0,-0.0], [107.0,-0.668267373931735], [137.0,-0.0], [166.0,-0.02348452857662905], [114.0,-0.0], [0.0,-0.0], [119.0,-0.0], [135.0,-0.0]]", 57
114, 1.14660714, "[[0.0,-0.0], [142.0,-1.520976423744028], [89.0,-0.7853662757263524], [56.0,-0.668267373931735]]", "[[0.0,-0.0], [142.0,-1.520976423744028], [89.0,-0.7853662757263524], [56.0,-0.668267373931735], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [51.0,-0.0], [161.0,-1.4038775219494106], [121.0,-0.7356101480176755], [83.0,-0.2765853658536585], [107.0,-0.668267373931735], [59.0,-0.1202067868504772], [51.0,-0.0], [52.0,-0.0], [247.0,-0.8621349324427703], [168.0,-0.3099130434782609], [130.0,-0.30110728587030006], [89.0,-0.11289051636228795], [85.0,-0.0691865671641791], [252.0,-0.8047967151818547], [54.0,-0.0], [223.0,-0.1975609756097561], [158.0,-0.07676865671641792], [182.0,-0.1969754435668951], [177.0,-0.11289051636228795], [54.0,-0.0], [304.0,-0.7578865918852942], [55.0,-0.0], [298.0,-0.2765853658536585], [227.0,-0.1202067868504772], [166.0,-0.02348452857662905], [195.0,-0.0691865671641791], [55.0,-0.0], [241.0,-0.11289051636228795], [56.0,-0.0], [210.0,-0.02348452857662905], [231.0,-0.0691865671641791], [428.0,-0.0691865671641791], [57.0,-0.0], [57.0,-0.0], [57.0,-0.0], [58.0,-0.0]]", 57
171, 1.360889033, "[[0.0,-0.0], [142.0,-1.520976423744028], [89.0,-0.7853662757263524], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755]]", "[[0.0,-0.0], [142.0,-1.520976423744028], [89.0,-0.7853662757263524], [50.0,-0.1975609756097561], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [51.0,-0.0], [161.0,-1.4038775219494106], [56.0,-0.668267373931735], [121.0,-0.7356101480176755], [155.0,-0.7853662757263524], [51.0,-0.0], [56.0,-0.668267373931735], [52.0,-0.0], [247.0,-0.8621349324427703], [158.0,-0.7853662757263524], [107.0,-0.668267373931735], [99.0,-0.3099130434782609], [59.0,-0.1202067868504772], [83.0,-0.2765853658536585], [52.0,-0.0], [99.0,-0.3099130434782609], [252.0,-0.8047967151818547], [54.0,-0.0], [172.0,-0.7356101480176755], [168.0,-0.3099130434782609], [226.0,-0.7853662757263524], [125.0,-0.1975609756097561], [89.0,-0.11289051636228795], [130.0,-0.30110728587030006]]", 57
228, 1.589305549, "[[0.0,-0.0], [142.0,-1.520976423744028], [50.0,-0.1975609756097561], [139.0,-0.9448527397853935], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755]]", "[[0.0,-0.0], [142.0,-1.520976423744028], [50.0,-0.1975609756097561], [139.0,-0.9448527397853935], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [51.0,-0.0], [161.0,-1.4038775219494106], [56.0,-0.668267373931735], [121.0,-0.7356101480176755], [155.0,-0.7853662757263524], [51.0,-0.0], [56.0,-0.668267373931735], [56.0,-0.668267373931735], [52.0,-0.0], [172.0,-1.061951641580011], [107.0,-0.668267373931735], [158.0,-0.7853662757263524], [99.0,-0.3099130434782609]]", 57
285, 1.8272792560000002, "[[0.0,-0.0], [142.0,-1.520976423744028], [50.0,-0.1975609756097561], [139.0,-0.9448527397853935], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755]]", "[[0.0,-0.0], [142.0,-1.520976423744028], [50.0,-0.1975609756097561], [139.0,-0.9448527397853935], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [51.0,-0.0], [161.0,-1.4038775219494106], [56.0,-0.668267373931735], [121.0,-0.7356101480176755], [150.0,-0.7853662757263524], [51.0,-0.0], [56.0,-0.668267373931735], [56.0,-0.668267373931735]]", 57
342, 2.0667228360000003, "[[0.0,-0.0], [142.0,-1.520976423744028], [50.0,-0.1975609756097561], [139.0,-0.9448527397853935], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755]]", "[[0.0,-0.0], [142.0,-1.520976423744028], [50.0,-0.1975609756097561], [139.0,-0.9448527397853935], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [50.0,-0.1975609756097561], [0.0,-0.0], [51.0,-0.0], [161.0,-1.4038775219494106], [56.0,-0.668267373931735], [150.0,-0.7853662757263524], [109.0,-0.7356101480176755]]", 57
399, 2.3023934770000003, "[[0.0,-0.0], [142.0,-1.520976423744028], [50.0,-0.1975609756097561], [139.0,-0.9448527397853935], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755]]", "[[0.0,-0.0], [142.0,-1.520976423744028], [50.0,-0.1975609756097561], [139.0,-0.9448527397853935], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [50.0,-0.1975609756097561], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [51.0,-0.0]]", 57
456, 2.5295951000000003, "[[0.0,-0.0], [142.0,-1.520976423744028], [50.0,-0.1975609756097561], [139.0,-0.9448527397853935], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755]]", "[[0.0,-0.0], [142.0,-1.520976423744028], [50.0,-0.1975609756097561], [139.0,-0.9448527397853935], [89.0,-0.7853662757263524], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [50.0,-0.1975609756097561], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0]]", 57
513, 2.7414053440000004, "[[0.0,-0.0], [142.0,-1.520976423744028], [50.0,-0.1975609756097561], [139.0,-0.9448527397853935], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [106.0,-0.8658283495414911]]", "[[0.0,-0.0], [142.0,-1.520976423744028], [50.0,-0.1975609756097561], [139.0,-0.9448527397853935], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [106.0,-0.8658283495414911], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [50.0,-0.1975609756097561], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0]]", 57
570, 3.041188952, "[[0.0,-0.0], [142.0,-1.520976423744028], [50.0,-0.1975609756097561], [139.0,-0.9448527397853935], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [106.0,-0.8658283495414911]]", "[[0.0,-0.0], [142.0,-1.520976423744028], [50.0,-0.1975609756097561], [139.0,-0.9448527397853935], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [106.0,-0.8658283495414911], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [89.0,-0.7853662757263524], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [53.0,-0.7356101480176755], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [50.0,-0.1975609756097561], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0], [0.0,-0.0]]", 57
