NFE, Elapsed Time, Approximation Set, Population, Population Size
40, 2.570907021, "[[0.0,0.0][117.0,0.0]]", "[[0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [2.4698178070456946,1.4142135623730951][117.0,0.0], [0.0,0.0][117.0,0.0], [0.9219544457292886,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [3.0983866769659336,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [2.4698178070456946,3.5355339059327378][117.0,0.0], [2.4698178070456946,2.1213203435596424][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,1.4142135623730951][117.0,0.0], [0.0,2.8284271247461903][117.0,0.0], [0.0,0.0][117.0,0.0], [3.0983866769659336,2.8284271247461903][117.0,0.0], [2.4698178070456946,0.0][117.0,0.0], [1.161895003862225,4.949747468305833][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [0.9219544457292886,1.4142135623730951][117.0,0.0], [0.0,4.949747468305833][117.0,0.0], [1.6278820596099706,4.949747468305833][117.0,0.0], [1.9364916731037087,3.5355339059327378][117.0,0.0], [1.161895003862225,0.0][117.0,0.0], [1.5329709716755893,1.4142135623730951][117.0,0.0], [0.9486832980505135,3.5355339059327378][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [2.469817807045694,4.949747468305833][117.0,0.0], [1.5329709716755893,1.4142135623730951][117.0,0.0], [2.6267851073127395,3.5355339059327378][117.0,0.0]]", 40
80, 2.976461345, "[[0.0,0.0][116.0,0.0]]", "[[0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0], [1.3291601358251257,0.0][116.0,0.0], [1.532970971675589,1.4142135623730951][116.0,0.0], [2.418677324489565,0.7071067811865476][116.0,0.0], [1.7795130420052188,1.1547005383792515][116.0,0.0], [2.765863337187866,0.7071067811865476][116.0,0.0], [1.532970971675589,2.1213203435596424][116.0,0.0], [2.8460498941515415,0.7071067811865476][116.0,0.0], [1.5329709716755893,2.1213203435596424][116.0,0.0], [2.765863337187866,1.4142135623730951][116.0,0.0], [2.5298221281347035,2.1213203435596424][116.0,0.0], [1.5329709716755893,5.656854249492381][116.0,0.0], [1.7606816861659011,2.516611478423583][116.0,0.0], [1.5811388300841898,2.8284271247461903][116.0,0.0], [1.5811388300841898,3.5355339059327378][116.0,0.0], [2.3804761428476167,2.516611478423583][116.0,0.0], [1.5811388300841898,7.0710678118654755][116.0,0.0], [2.39791576165636,3.5355339059327378][116.0,0.0], [2.5199206336708304,3.5355339059327378][116.0,0.0], [2.418677324489565,5.656854249492381][116.0,0.0], [2.5298221281347035,5.656854249492381][116.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0], [0.0,0.0][117.0,0.0]]", 40
120, 3.1632340240000003, "[[0.0,0.0][115.0,0.0]]", "[[0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.9999999999999999,5.656854249492381][115.0,0.0], [1.1100358899479101,1.0][115.0,0.0], [1.1379309636170958,4.163331998932266][115.0,0.0], [2.144761058952722,1.0][115.0,0.0], [1.6721737823769693,2.9860788111948193][115.0,0.0], [1.7606816861659011,1.4142135623730951][115.0,0.0], [1.1643266612106278,3.605551275463989][115.0,0.0], [1.7795130420052188,1.7320508075688772][115.0,0.0], [1.2360419290553115,5.131601439446884][115.0,0.0], [1.7029386365926402,4.041451884327381][115.0,0.0], [1.449137674618944,4.618802153517007][115.0,0.0], [1.8303005217723127,2.8284271247461903][115.0,0.0], [1.7748239349298849,7.0710678118654755][115.0,0.0], [1.9621416870348583,2.8284271247461903][115.0,0.0], [1.7748239349298849,10.606601717798213][115.0,0.0], [2.673948391424188,2.8284271247461903][115.0,0.0], [2.313006701244076,9.899494936611665][115.0,0.0], [2.418677324489565,4.242640687119285][115.0,0.0], [2.418677324489565,4.242640687119285][115.0,0.0], [2.418677324489565,6.363961030678928][115.0,0.0], [2.6925824035672523,2.8284271247461903][115.0,0.0], [2.449489742783178,5.656854249492381][115.0,0.0], [2.418677324489565,8.48528137423857][115.0,0.0], [2.8460498941515415,4.242640687119285][115.0,0.0], [2.449489742783178,7.0710678118654755][115.0,0.0], [3.788139384975162,5.656854249492381][115.0,0.0], [3.0983866769659336,9.192388155425117][115.0,0.0], [4.110960958218893,5.656854249492381][115.0,0.0], [3.9812058474788765,7.0710678118654755][115.0,0.0], [4.018706259482023,7.7781745930520225][115.0,0.0], [0.0,0.0][116.0,0.0], [0.0,0.0][116.0,0.0]]", 40
160, 3.3044655190000003, "[[0.0,0.0][114.0,0.0]]", "[[0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [1.61245154965971,0.7071067811865476][114.0,0.0], [0.816496580927726,6.557438524302][114.0,0.0], [0.9068473167171625,1.2583057392117916][114.0,0.0], [0.9355034384419266,2.943920288775949][114.0,0.0], [2.179449471770337,0.7071067811865476][114.0,0.0], [1.27301890661294,2.0615528128088303][114.0,0.0], [1.692046386683394,2.0615528128088303][114.0,0.0], [1.378404875209022,16.97056274847714][114.0,0.0], [1.4715326043868202,3.5][114.0,0.0], [1.6721737823769691,2.449489742783178][114.0,0.0], [1.532970971675589,13.435028842544403][114.0,0.0], [2.1555832229160967,2.0615528128088303][114.0,0.0], [1.7029386365926402,2.8284271247461903][114.0,0.0], [1.8225089933707728,2.160246899469287][114.0,0.0], [2.257962364699803,2.6457513110645907][114.0,0.0], [1.7433133496347466,7.767453465154029][114.0,0.0], [1.9944448996648272,4.163331998932266][114.0,0.0], [1.8137733474491966,5.131601439446884][114.0,0.0], [3.626292872893749,2.8284271247461903][114.0,0.0], [1.9748417658131503,6.506407098647712][114.0,0.0], [2.8460498941515415,4.949747468305833][114.0,0.0], [1.9748417658131503,6.506407098647712][114.0,0.0], [2.8017851452243803,7.0710678118654755][114.0,0.0], [5.822370651203855,7.0710678118654755][114.0,0.0], [3.3166247903554003,11.313708498984761][114.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0], [0.0,0.0][115.0,0.0]]", 40
200, 3.408873045, "[[0.0,0.0][113.0,0.0]]", "[[0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.7325003987849297,3.1144823004794877][113.0,0.0], [3.3689761055846033,0.7071067811865476][113.0,0.0], [1.6661086945702737,1.0][113.0,0.0], [0.8889276567104144,2.0615528128088303][113.0,0.0], [1.0,21.920310216782973][113.0,0.0], [1.6059927036878232,2.7748873851023217][113.0,0.0], [1.0670174923707334,5.477225575051661][113.0,0.0], [1.5081867545758054,3.5][113.0,0.0], [1.2992234125040607,3.974921382870358][113.0,0.0], [1.1927389890598665,4.0][113.0,0.0], [1.6059927036878232,2.7748873851023217][113.0,0.0], [2.898275349237888,2.8284271247461903][113.0,0.0], [1.2305353301927051,13.45362404707371][113.0,0.0], [1.685799680699037,4.041451884327381][113.0,0.0], [1.6904389051863822,4.349329450233296][113.0,0.0], [2.202271554554524,19.091883092036785][113.0,0.0], [2.6172504656604803,7.0710678118654755][113.0,0.0], [2.2749184373902964,7.211102550927978][113.0,0.0], [3.0248966924508345,7.0710678118654755][113.0,0.0], [2.2693611435820435,20.506096654409877][113.0,0.0], [2.765863337187866,12.020815280171307][113.0,0.0], [2.39791576165636,16.97056274847714][113.0,0.0], [2.519920633670831,24.041630560342615][113.0,0.0], [3.4856850115866753,10.606601717798213][113.0,0.0], [4.242640687119285,12.020815280171307][113.0,0.0], [5.113707070218239,12.020815280171307][113.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0], [0.0,0.0][114.0,0.0]]", 40
240, 3.652584467, "[[0.0,0.0][112.0,0.0]]", "[[0.0,0.0][112.0,0.0], [0.0,0.0][112.0,0.0], [0.6704011962783766,3.0767948691238205][112.0,0.0], [1.5479236177059124,1.2909944487358056][112.0,0.0], [1.1100358899479104,2.449489742783178][112.0,0.0], [1.44117908273186,2.04939015319192][112.0,0.0], [1.1621977622225064,3.0767948691238205][112.0,0.0], [0.9486832980505138,4.242640687119285][112.0,0.0], [1.5148580309602147,3.4641016151377544][112.0,0.0], [1.0366762476365727,4.43471156521669][112.0,0.0], [1.3280746184853787,3.96232255123179][112.0,0.0], [1.1927389890598665,4.509249752822894][112.0,0.0], [1.4950288146411708,3.96232255123179][112.0,0.0], [1.1927389890598665,4.932882862316248][112.0,0.0], [1.6027322327064626,3.96232255123179][112.0,0.0], [1.4846919637385236,8.098353742170895][112.0,0.0], [1.8439088914585775,19.79898987322333][112.0,0.0], [2.5298221281347035,8.48528137423857][112.0,0.0], [3.122498999199199,11.313708498984761][112.0,0.0], [2.0976176963403033,26.16295090390226][112.0,0.0], [3.794733192202055,11.313708498984761][112.0,0.0], [3.653765181289022,21.213203435596427][112.0,0.0], [4.924428900898052,15.556349186104045][112.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.0,0.0][113.0,0.0], [0.7325003987849297,3.1144823004794877][113.0,0.0], [3.3689761055846033,0.7071067811865476][113.0,0.0], [1.6661086945702737,1.0][113.0,0.0], [0.8889276567104144,2.0615528128088303][113.0,0.0], [0.8717797887081347,3.1144823004794873][113.0,0.0], [1.0,21.920310216782973][113.0,0.0], [2.569046515733026,1.4142135623730951][113.0,0.0]]", 40
280, 3.8296679640000004, "[[0.5566637410309673,5.560275772537426][111.0,0.0], [1.3522976781862968,1.3038404810405297][111.0,0.0], [0.6167588018754854,2.984084768360628][111.0,0.0], [1.0926034126575355,1.5][111.0,0.0], [1.0234745901729538,2.9268868558020253][111.0,0.0], [1.0653678582269612,2.819996622760558][111.0,0.0]]", "[[0.5566637410309673,5.560275772537426][111.0,0.0], [1.3522976781862968,1.3038404810405297][111.0,0.0], [0.6167588018754854,2.984084768360628][111.0,0.0], [1.0926034126575355,1.5][111.0,0.0], [1.0234745901729538,2.9268868558020253][111.0,0.0], [1.0653678582269612,2.819996622760558][111.0,0.0], [0.5566637410309673,5.560275772537426][111.0,0.0], [1.802920719552087,2.804757862395017][111.0,0.0], [1.0814746243849946,3.593976442141304][111.0,0.0], [1.4968236038929246,3.2041639575194445][111.0,0.0], [1.2158073904678113,3.559026084010437][111.0,0.0], [1.5809838337008006,3.082207001484488][111.0,0.0], [1.802920719552087,2.804757862395017][111.0,0.0], [1.0814746243849946,5.560275772537426][111.0,0.0], [1.564370272154208,3.7013511046643495][111.0,0.0], [1.4085971409960778,3.7103458958251676][111.0,0.0], [1.2344417133421552,4.69041575982343][111.0,0.0], [1.133126028390294,4.716990566028302][111.0,0.0], [1.5877140919876545,7.085195833567339][111.0,0.0], [4.0528753644270585,7.937253933193772][111.0,0.0], [1.6881943016134133,26.870057685088806][111.0,0.0], [2.3658480948896576,14.933184523068078][111.0,0.0], [3.8789191513003423,9.60902353693305][111.0,0.0], [1.7079582107572666,20.074859899884732][111.0,0.0], [0.0,0.0][112.0,0.0], [0.0,0.0][112.0,0.0], [0.0,0.0][112.0,0.0], [0.0,0.0][112.0,0.0], [0.0,0.0][112.0,0.0], [0.6704011962783766,3.0767948691238205][112.0,0.0], [1.5479236177059124,1.2909944487358056][112.0,0.0], [1.44117908273186,2.04939015319192][112.0,0.0], [1.1100358899479104,2.449489742783178][112.0,0.0], [0.8062965711244361,2.8047578623950176][112.0,0.0], [1.44117908273186,2.04939015319192][112.0,0.0], [0.9486832980505138,4.242640687119285][112.0,0.0], [1.1006540273661027,3.0][112.0,0.0], [1.1621977622225064,3.0767948691238205][112.0,0.0], [1.0366762476365727,4.43471156521669][112.0,0.0], [1.1621977622225064,3.0767948691238205][112.0,0.0]]", 40
320, 4.000481486, "[[1.4200880622965404,1.4142135623730951][110.0,0.0], [0.43276829944543244,4.123105625617661][110.0,0.0], [1.1586435050126531,3.1144823004794877][110.0,0.0], [0.7494356759788056,3.696845502136472][110.0,0.0]]", "[[1.4200880622965404,1.4142135623730951][110.0,0.0], [0.43276829944543244,4.123105625617661][110.0,0.0], [1.1586435050126531,3.1144823004794877][110.0,0.0], [0.7494356759788056,3.696845502136472][110.0,0.0], [0.4918250983033769,5.0990195135927845][110.0,0.0], [1.7564392973986824,2.1213203435596424][110.0,0.0], [0.976811044606996,3.898717737923586][110.0,0.0], [1.6731236672532788,2.70801280154532][110.0,0.0], [1.344590403169085,3.5523298860110977][110.0,0.0], [1.3911825407417304,3.1622776601683795][110.0,0.0], [1.026671342274443,5.0990195135927845][110.0,0.0], [1.6933195672760708,2.70801280154532][110.0,0.0], [1.0994144842641473,3.947573094109004][110.0,0.0], [1.6020967782011162,3.331666249791536][110.0,0.0], [1.7612404627751876,2.751622897751175][110.0,0.0], [1.0994144842641473,4.43471156521669][110.0,0.0], [1.6933195672760708,3.0394235042348474][110.0,0.0], [1.1204395377392466,4.43471156521669][110.0,0.0], [1.3547309019758096,5.123475382979799][110.0,0.0], [1.456863197946087,19.857828011475306][110.0,0.0], [1.541731507620752,5.128352561983234][110.0,0.0], [1.4882718455834156,6.76510655249913][110.0,0.0], [3.6788489672190336,8.18535277187245][110.0,0.0], [0.0,0.0][111.0,0.0], [0.0,0.0][111.0,0.0], [1.3522976781862968,1.3038404810405297][111.0,0.0], [0.4847915568524791,3.304037933599835][111.0,0.0], [1.0926034126575355,1.5][111.0,0.0], [0.6167588018754854,2.984084768360628][111.0,0.0], [1.0653678582269612,2.819996622760558][111.0,0.0], [1.0234745901729538,2.9268868558020253][111.0,0.0], [0.5566637410309673,5.560275772537426][111.0,0.0], [1.553575196411608,1.3038404810405297][111.0,0.0], [1.0234745901729538,3.2506409624359724][111.0,0.0], [1.0926034126575355,2.8722813232690143][111.0,0.0], [0.5566637410309673,5.560275772537426][111.0,0.0], [1.802920719552087,2.804757862395017][111.0,0.0], [1.0653678582269612,3.59894164336975][111.0,0.0], [1.4968236038929246,3.2041639575194445][111.0,0.0], [1.2158073904678113,3.559026084010437][111.0,0.0]]", 40
360, 4.153871013, "[[1.815264887681004,2.065591117977289][109.0,0.0], [0.4631858335775679,4.7207747548166585][109.0,0.0], [1.5250175745383439,2.5071326821120348][109.0,0.0], [1.2339005402265686,3.40587727318528][109.0,0.0], [0.5591392511215504,3.833592123769634][109.0,0.0], [0.7232441227945334,3.494894235064305][109.0,0.0], [0.9495374125481092,3.488074922742725][109.0,0.0]]", "[[1.815264887681004,2.065591117977289][109.0,0.0], [0.4631858335775679,4.7207747548166585][109.0,0.0], [1.5250175745383439,2.5071326821120348][109.0,0.0], [1.2339005402265686,3.40587727318528][109.0,0.0], [0.5591392511215504,3.833592123769634][109.0,0.0], [0.7232441227945334,3.494894235064305][109.0,0.0], [0.9495374125481092,3.488074922742725][109.0,0.0], [1.563659152705341,2.7222627143085005][109.0,0.0], [0.5045834154172906,4.969909455915671][109.0,0.0], [0.5657562754954383,3.833592123769634][109.0,0.0], [1.2846006163819392,3.6645015252516173][109.0,0.0], [1.0560391841908483,3.696845502136472][109.0,0.0], [1.006034240770377,7.155417527999326][109.0,0.0], [1.439055629576443,3.774917217635375][109.0,0.0], [1.3442540435338626,4.4986770542121866][109.0,0.0], [1.439055629576443,4.349329450233296][109.0,0.0], [1.1503058812912517,7.544313531837517][109.0,0.0], [1.4246990095777359,6.267831705280087][109.0,0.0], [1.4575024459290273,6.6932802122726045][109.0,0.0], [1.4007091292053169,18.154430129677255][109.0,0.0], [4.528142926770804,9.604686356149273][109.0,0.0], [1.4200880622965404,1.4142135623730951][110.0,0.0], [0.32953179410182337,4.509249752822894][110.0,0.0], [0.8206413869063127,2.6186146828319083][110.0,0.0], [0.7494356759788056,3.696845502136472][110.0,0.0], [0.43276829944543244,4.123105625617661][110.0,0.0], [0.4918250983033769,5.0990195135927845][110.0,0.0], [1.7564392973986824,2.1213203435596424][110.0,0.0], [0.976811044606996,3.898717737923586][110.0,0.0], [1.6731236672532788,2.70801280154532][110.0,0.0], [1.3222827862329274,2.9268868558020253][110.0,0.0], [1.1586435050126531,3.1144823004794877][110.0,0.0], [1.1259666878024424,3.8172540616821107][110.0,0.0], [1.026671342274443,5.0990195135927845][110.0,0.0], [1.6933195672760708,2.70801280154532][110.0,0.0], [1.0994144842641473,3.947573094109004][110.0,0.0], [1.3911825407417304,3.1622776601683795][110.0,0.0], [1.344590403169085,3.5523298860110977][110.0,0.0], [1.7612404627751876,2.751622897751175][110.0,0.0], [1.0754192300649392,5.612486080160912][110.0,0.0]]", 40
400, 4.332628859000001, "[[0.44757030699229894,4.54933276112317][108.0,0.0], [1.046464809620254,3.116774889895918][108.0,0.0], [0.821584566764776,3.654742515847438][108.0,0.0], [0.8400932761366866,3.3594217189442417][108.0,0.0]]", "[[0.44757030699229894,4.54933276112317][108.0,0.0], [1.046464809620254,3.116774889895918][108.0,0.0], [0.821584566764776,3.654742515847438][108.0,0.0], [0.8400932761366866,3.3594217189442417][108.0,0.0], [1.0658960384455116,3.32665998663324][108.0,0.0], [0.49328471734832496,4.722287581247038][108.0,0.0], [0.8443933614640499,3.4034296427770228][108.0,0.0], [0.8914680256628511,3.4448028487370173][108.0,0.0], [1.3686640384720055,3.4302575219167823][108.0,0.0], [1.1414546358134476,3.4572215654165053][108.0,0.0], [1.0005079749527743,6.418722614352485][108.0,0.0], [1.3612949482919348,3.5228843701879127][108.0,0.0], [1.5401152331541288,4.324349662087931][108.0,0.0], [2.131649022480985,3.7815340802378077][108.0,0.0], [4.25859871631142,9.09945053286186][108.0,0.0], [1.815264887681004,2.065591117977289][109.0,0.0], [0.4631858335775679,4.7207747548166585][109.0,0.0], [1.2634932693014242,2.9277002188455996][109.0,0.0], [1.4680562839373272,2.5071326821120348][109.0,0.0], [1.5250175745383439,2.138089935299395][109.0,0.0], [0.7232441227945334,3.494894235064305][109.0,0.0], [0.5579587277865216,3.8706773124535787][109.0,0.0], [0.9495374125481092,3.488074922742725][109.0,0.0], [1.2339005402265686,3.40587727318528][109.0,0.0], [0.5591392511215504,3.833592123769634][109.0,0.0], [1.1462656343431765,3.4641016151377544][109.0,0.0], [1.5626487203555657,2.4784787961282104][109.0,0.0], [0.4631858335775679,4.894116973712515][109.0,0.0], [0.5657562754954383,3.833592123769634][109.0,0.0], [1.4174434519269803,3.40587727318528][109.0,0.0], [1.0560391841908483,3.696845502136472][109.0,0.0], [1.5250175745383439,2.5071326821120348][109.0,0.0], [1.1903742752047257,3.600925806881706][109.0,0.0], [1.1259666878024421,3.670993118515816][109.0,0.0], [1.563659152705341,2.7222627143085005][109.0,0.0], [0.5045834154172906,4.969909455915671][109.0,0.0], [1.2846006163819392,3.6645015252516173][109.0,0.0], [0.5657562754954383,3.943801646707328][109.0,0.0], [0.7232441227945334,4.06201920231798][109.0,0.0], [1.563659152705341,3.113908889391045][109.0,0.0]]", 40
