NFE, Elapsed Time, Approximation Set, Population, Population Size
440, 6.993340526000001, [[9.958333333333332][14.0]], "[[9.958333333333332][14.0], [10.625][15.0], [12.0][15.0], [14.416666666666666][15.0], [5.45][16.0], [6.0][16.0], [10.958333333333332][16.0], [15.166666666666666][16.0], [17.5][16.0], [17.75][16.0], [18.25][16.0], [7.916666666666667][17.0], [8.833333333333332][17.0], [9.499999999999998][17.0], [10.0][17.0], [10.5][17.0], [11.0][17.0], [11.0][17.0], [12.5][17.0], [12.666666666666666][17.0], [13.5][17.0], [17.25][17.0], [17.5][17.0], [18.5][17.0], [4.291666666666666][18.0], [4.5][18.0], [5.333333333333333][18.0], [5.458333333333332][18.0], [6.041666666666666][18.0], [6.5][18.0], [7.0][18.0], [7.5][18.0], [7.5][18.0], [7.916666666666665][18.0], [8.5][18.0], [8.5][18.0], [8.5][18.0], [9.083333333333334][18.0], [9.5][18.0], [10.0][18.0]]", 40
480, 7.306750073000001, [[18.25][13.0]], "[[18.25][13.0], [9.350000000000001][14.0], [9.5][14.0], [9.850000000000001][14.0], [9.958333333333332][14.0], [16.5][14.0], [10.625][15.0], [11.5][15.0], [11.5][15.0], [12.0][15.0], [12.083333333333334][15.0], [12.833333333333332][15.0], [14.416666666666666][15.0], [16.500000000000004][15.0], [17.75][15.0], [19.0][15.0], [5.45][16.0], [6.0][16.0], [9.500000000000002][16.0], [10.958333333333332][16.0], [11.027777777777779][16.0], [11.5][16.0], [12.625][16.0], [13.0][16.0], [13.5][16.0], [14.0][16.0], [15.166666666666666][16.0], [16.0][16.0], [17.5][16.0], [17.75][16.0], [18.25][16.0], [18.5][16.0], [18.75][16.0], [5.125][17.0], [7.5][17.0], [7.916666666666667][17.0], [8.0][17.0], [8.208333333333332][17.0], [8.75][17.0], [8.833333333333332][17.0]]", 40
520, 7.89031019, [[13.374999999999998][11.0]], "[[13.374999999999998][11.0], [11.666666666666666][12.0], [8.75][13.0], [12.850000000000001][13.0], [18.25][13.0], [7.1000000000000005][14.0], [8.333333333333332][14.0], [9.350000000000001][14.0], [9.5][14.0], [9.625][14.0], [9.850000000000001][14.0], [9.958333333333332][14.0], [16.5][14.0], [17.25][14.0], [18.25][14.0], [7.458333333333331][15.0], [8.458333333333332][15.0], [9.8][15.0], [10.0][15.0], [10.458333333333334][15.0], [10.625][15.0], [11.5][15.0], [11.5][15.0], [11.583333333333334][15.0], [12.0][15.0], [12.083333333333334][15.0], [12.333333333333334][15.0], [12.833333333333332][15.0], [14.0][15.0], [14.166666666666666][15.0], [14.416666666666666][15.0], [14.916666666666666][15.0], [15.0][15.0], [16.500000000000004][15.0], [17.75][15.0], [19.0][15.0], [20.5][15.0], [3.2333333333333325][16.0], [5.45][16.0], [6.0][16.0]]", 40
560, 8.304827201, [[14.624999999999998][10.0]], "[[14.624999999999998][10.0], [13.374999999999998][11.0], [19.5][11.0], [9.15][12.0], [10.666666666666666][12.0], [11.666666666666666][12.0], [12.041666666666666][12.0], [13.249999999999998][12.0], [17.25][12.0], [7.316666666666666][13.0], [7.533333333333333][13.0], [8.75][13.0], [8.875][13.0], [10.525][13.0], [12.850000000000001][13.0], [18.25][13.0], [4.35][14.0], [5.9][14.0], [7.1000000000000005][14.0], [7.277777777777779][14.0], [8.25][14.0], [8.333333333333332][14.0], [8.458333333333332][14.0], [9.350000000000001][14.0], [9.5][14.0], [9.625][14.0], [9.850000000000001][14.0], [9.958333333333332][14.0], [15.5][14.0], [15.75][14.0], [16.25][14.0], [16.5][14.0], [17.25][14.0], [18.25][14.0], [19.000000000000004][14.0], [19.916666666666668][14.0], [6.999999999999999][15.0], [7.458333333333331][15.0], [7.933333333333334][15.0], [8.458333333333332][15.0]]", 40
600, 8.492070357000001, [[27.25][8.0]], "[[27.25][8.0], [12.999999999999998][9.0], [21.0][9.0], [13.0][10.0], [13.0][10.0], [13.75][10.0], [14.624999999999998][10.0], [15.124999999999998][10.0], [19.5][10.0], [12.624999999999998][11.0], [13.374999999999998][11.0], [14.91666666666667][11.0], [14.958333333333334][11.0], [19.5][11.0], [20.583333333333332][11.0], [23.75][11.0], [9.15][12.0], [10.458333333333334][12.0], [10.624999999999998][12.0], [10.666666666666666][12.0], [10.708333333333332][12.0], [11.666666666666666][12.0], [12.0][12.0], [12.041666666666666][12.0], [12.291666666666666][12.0], [13.249999999999998][12.0], [17.25][12.0], [21.5][12.0], [5.383333333333333][13.0], [6.8][13.0], [7.316666666666666][13.0], [7.533333333333333][13.0], [7.833333333333332][13.0], [8.75][13.0], [8.875][13.0], [10.525][13.0], [11.958333333333334][13.0], [12.850000000000001][13.0], [18.25][13.0], [4.35][14.0]]", 40
640, 8.859751750000001, [[33.875][6.0]], "[[33.875][6.0], [31.375][7.0], [16.124999999999996][8.0], [17.944444444444443][8.0], [19.583333333333332][8.0], [27.25][8.0], [12.999999999999998][9.0], [15.916666666666666][9.0], [21.0][9.0], [24.375][9.0], [10.083333333333332][10.0], [11.666666666666664][10.0], [11.791666666666664][10.0], [11.874999999999998][10.0], [13.0][10.0], [13.0][10.0], [13.666666666666666][10.0], [13.75][10.0], [14.624999999999998][10.0], [15.124999999999998][10.0], [19.5][10.0], [10.624999999999998][11.0], [12.624999999999998][11.0], [12.633333333333333][11.0], [13.374999999999998][11.0], [13.458333333333332][11.0], [14.194444444444445][11.0], [14.20833333333333][11.0], [14.249999999999998][11.0], [14.775][11.0], [14.91666666666667][11.0], [14.958333333333334][11.0], [15.333333333333334][11.0], [16.5][11.0], [19.5][11.0], [20.583333333333332][11.0], [23.75][11.0], [24.5][11.0], [9.15][12.0], [10.291666666666666][12.0]]", 40
680, 9.025588882000001, [[34.875][4.0]], "[[34.875][4.0], [29.791666666666668][5.0], [31.0][5.0], [28.125][6.0], [31.25][6.0], [33.875][6.0], [18.08333333333333][7.0], [23.166666666666664][7.0], [27.125][7.0], [28.875][7.0], [31.375][7.0], [16.124999999999996][8.0], [17.944444444444443][8.0], [19.25][8.0], [19.583333333333332][8.0], [19.666666666666668][8.0], [22.083333333333332][8.0], [27.25][8.0], [11.291666666666664][9.0], [12.999999999999998][9.0], [15.916666666666666][9.0], [16.611111111111107][9.0], [17.541666666666664][9.0], [17.749999999999996][9.0], [18.875][9.0], [20.791666666666664][9.0], [21.0][9.0], [22.166666666666664][9.0], [24.375][9.0], [27.583333333333332][9.0], [10.083333333333332][10.0], [10.833333333333334][10.0], [11.333333333333332][10.0], [11.666666666666664][10.0], [11.708333333333332][10.0], [11.791666666666664][10.0], [11.874999999999998][10.0], [11.874999999999998][10.0], [12.083333333333332][10.0], [12.583333333333334][10.0]]", 40
720, 9.245266687, [[31.875][3.0]], "[[31.875][3.0], [31.291666666666668][4.0], [34.875][4.0], [23.458333333333332][5.0], [28.625][5.0], [29.791666666666668][5.0], [31.0][5.0], [32.25][5.0], [33.875][5.0], [34.75][5.0], [35.25][5.0], [21.75][6.0], [27.75][6.0], [28.125][6.0], [31.25][6.0], [32.45][6.0], [33.875][6.0], [15.541666666666664][7.0], [18.08333333333333][7.0], [18.208333333333332][7.0], [20.27777777777778][7.0], [21.708333333333336][7.0], [23.166666666666664][7.0], [23.166666666666664][7.0], [25.249999999999996][7.0], [27.125][7.0], [28.875][7.0], [29.916666666666664][7.0], [31.375][7.0], [15.166666666666666][8.0], [15.749999999999996][8.0], [16.124999999999996][8.0], [16.5][8.0], [17.277777777777775][8.0], [17.944444444444443][8.0], [19.25][8.0], [19.5][8.0], [19.583333333333332][8.0], [19.666666666666668][8.0], [21.416666666666668][8.0]]", 40
760, 9.480610102, [[27.70833333333333][2.0]], "[[27.70833333333333][2.0], [26.54166666666667][3.0], [31.875][3.0], [35.958333333333336][3.0], [24.58333333333333][4.0], [27.125][4.0], [31.125][4.0], [31.291666666666668][4.0], [32.541666666666664][4.0], [34.125][4.0], [34.875][4.0], [21.499999999999996][5.0], [23.458333333333332][5.0], [28.499999999999996][5.0], [28.625][5.0], [29.791666666666668][5.0], [30.375][5.0], [30.625][5.0], [31.0][5.0], [32.20833333333333][5.0], [32.25][5.0], [33.875][5.0], [33.875][5.0], [34.75][5.0], [34.91666666666667][5.0], [35.25][5.0], [17.458333333333332][6.0], [18.708333333333332][6.0], [21.75][6.0], [25.125][6.0], [25.208333333333332][6.0], [26.625][6.0], [27.166666666666664][6.0], [27.75][6.0], [28.125][6.0], [30.166666666666668][6.0], [30.25][6.0], [31.25][6.0], [32.45][6.0], [33.875][6.0]]", 40
800, 9.70516826, [[27.70833333333333][2.0]], "[[27.70833333333333][2.0], [29.541666666666668][2.0], [23.75][3.0], [26.54166666666667][3.0], [29.499999999999996][3.0], [31.833333333333332][3.0], [31.875][3.0], [33.625][3.0], [35.958333333333336][3.0], [37.666666666666664][3.0], [39.833333333333336][3.0], [20.25][4.0], [22.533333333333328][4.0], [24.58333333333333][4.0], [25.166666666666664][4.0], [26.555555555555554][4.0], [27.125][4.0], [28.125][4.0], [30.208333333333336][4.0], [31.125][4.0], [31.291666666666668][4.0], [32.0][4.0], [32.541666666666664][4.0], [34.0][4.0], [34.125][4.0], [34.875][4.0], [35.25][4.0], [21.499999999999996][5.0], [22.20833333333333][5.0], [22.999999999999996][5.0], [23.458333333333332][5.0], [23.5][5.0], [23.541666666666664][5.0], [24.666666666666668][5.0], [25.875][5.0], [26.291666666666664][5.0], [26.333333333333332][5.0], [27.999999999999996][5.0], [28.166666666666668][5.0], [28.499999999999996][5.0]]", 40
