NFE, Elapsed Time, Approximation Set, Population, Population Size
10, 2.013120241, "[[36.5,2.0]]", "[[38.6,2.0], [37.6,2.0], [38.6,2.0], [36.5,2.0], [38.6,2.0], [38.6,2.0], [38.6,2.0], [37.6,2.0], [38.6,2.0], [37.6,2.0]]", 10
20, 2.442168476, "[[36.5,2.0], [35.400000000000006,3.0]]", "[[36.5,2.0], [35.400000000000006,3.0], [37.6,2.0], [36.400000000000006,3.0], [37.6,2.0], [37.6,2.0], [36.400000000000006,3.0], [36.400000000000006,3.0], [36.400000000000006,3.0], [36.400000000000006,3.0]]", 10
30, 3.501803653, "[[36.5,2.0], [33.1,4.0], [35.400000000000006,3.0]]", "[[36.5,2.0], [33.1,4.0], [35.400000000000006,3.0], [35.400000000000006,3.0], [37.6,2.0], [35.3,4.0], [36.400000000000006,3.0], [37.6,2.0], [37.6,2.0], [36.400000000000006,3.0]]", 10
40, 4.355405786, "[[36.5,2.0], [32.1,4.0], [34.3,3.0]]", "[[36.5,2.0], [32.1,4.0], [34.3,3.0], [33.1,4.0], [37.6,2.0], [35.400000000000006,3.0], [35.400000000000006,3.0], [37.6,2.0], [37.6,2.0], [35.400000000000006,3.0]]", 10
50, 5.045116350000001, "[[36.5,2.0], [32.1,4.0], [34.3,3.0]]", "[[36.5,2.0], [32.1,4.0], [34.3,3.0], [32.1,4.0], [34.3,3.0], [33.1,4.0], [37.6,2.0], [35.400000000000006,3.0], [35.400000000000006,3.0], [37.6,2.0]]", 10
60, 5.305051328, "[[36.5,2.0], [31.0,5.0], [34.3,3.0], [32.1,4.0]]", "[[36.5,2.0], [31.0,5.0], [34.3,3.0], [32.1,4.0], [32.1,4.0], [34.3,3.0], [31.0,5.0], [37.6,2.0], [31.9,5.0], [35.400000000000006,3.0]]", 10
70, 5.585665296, "[[36.5,2.0], [29.9,6.0], [34.3,3.0], [32.1,4.0], [31.0,5.0]]", "[[36.5,2.0], [29.9,6.0], [34.3,3.0], [32.1,4.0], [31.0,5.0], [32.1,4.0], [34.3,3.0], [31.0,5.0], [37.6,2.0], [30.8,6.0]]", 10
80, 5.8524137860000005, "[[36.5,2.0], [29.8,7.0], [34.3,3.0], [32.1,4.0], [31.0,5.0], [29.9,6.0]]", "[[36.5,2.0], [29.8,7.0], [34.3,3.0], [32.1,4.0], [31.0,5.0], [29.9,6.0], [32.1,4.0], [34.3,3.0], [31.0,5.0], [29.9,6.0]]", 10
90, 6.2735926200000005, "[[36.5,2.0], [27.700000000000003,7.0], [34.3,3.0], [32.1,4.0], [29.9,6.0], [31.0,5.0]]", "[[36.5,2.0], [27.700000000000003,7.0], [34.3,3.0], [32.1,4.0], [29.9,6.0], [31.0,5.0], [32.1,4.0], [34.3,3.0], [31.0,5.0], [29.9,6.0]]", 10
100, 6.744318988000001, "[[36.5,2.0], [27.6,8.0], [34.3,3.0], [32.1,4.0], [29.9,6.0], [27.700000000000003,7.0], [31.0,5.0]]", "[[36.5,2.0], [27.6,8.0], [34.3,3.0], [32.1,4.0], [29.9,6.0], [27.700000000000003,7.0], [31.0,5.0], [32.1,4.0], [34.3,3.0], [31.0,5.0]]", 10
110, 7.287120333000001, "[[36.5,2.0], [26.5,8.0], [33.2,3.0], [27.700000000000003,7.0], [29.9,6.0], [32.1,4.0], [31.0,5.0]]", "[[36.5,2.0], [26.5,8.0], [33.2,3.0], [27.700000000000003,7.0], [29.9,6.0], [32.1,4.0], [31.0,5.0], [32.1,4.0], [31.0,5.0], [34.3,3.0]]", 10
120, 7.721203241, "[[36.5,2.0], [25.4,9.0], [33.2,3.0], [27.700000000000003,7.0], [29.9,6.0], [26.5,8.0], [32.1,4.0], [31.0,5.0]]", "[[36.5,2.0], [25.4,9.0], [33.2,3.0], [27.700000000000003,7.0], [29.9,6.0], [26.5,8.0], [32.1,4.0], [31.0,5.0], [32.1,4.0], [31.0,5.0]]", 10
130, 8.041359709, "[[36.5,2.0], [25.4,9.0], [33.2,3.0], [27.700000000000003,7.0], [29.9,6.0], [26.5,8.0], [32.1,4.0], [31.0,5.0]]", "[[36.5,2.0], [25.4,9.0], [33.2,3.0], [27.700000000000003,7.0], [29.9,6.0], [26.5,8.0], [32.1,4.0], [31.0,5.0], [32.1,4.0], [31.0,5.0]]", 10
140, 8.372228501, "[[36.5,2.0], [25.4,9.0], [33.2,3.0], [31.0,5.0], [28.8,6.0], [26.5,8.0], [27.700000000000003,7.0], [32.1,4.0]]", "[[36.5,2.0], [25.4,9.0], [33.2,3.0], [31.0,5.0], [28.8,6.0], [26.5,8.0], [27.700000000000003,7.0], [32.1,4.0], [32.1,4.0], [31.0,5.0]]", 10
