NFE, Elapsed Time, Approximation Set, Population, Population Size
10, 1.695139917, "[[33.3,2.0]]", "[[33.3,2.0], [38.6,2.0], [38.6,2.0], [38.6,2.0], [35.5,2.0], [36.5,2.0], [37.6,2.0], [38.6,2.0], [36.5,2.0], [36.5,2.0]]", 10
20, 2.1089483120000003, "[[33.3,2.0], [32.1,3.0]]", "[[33.3,2.0], [32.1,3.0], [35.5,2.0], [32.2,3.0], [36.5,2.0], [33.2,3.0], [36.5,2.0], [36.5,2.0], [37.6,2.0], [33.3,3.0]]", 10
30, 2.277984816, "[[33.3,2.0], [29.9,4.0], [32.1,3.0]]", "[[33.3,2.0], [29.9,4.0], [32.1,3.0], [32.1,3.0], [29.9,4.0], [35.5,2.0], [32.0,4.0], [32.2,3.0], [32.2,3.0], [32.2,3.0]]", 10
40, 2.6076648860000002, "[[33.3,2.0], [28.8,5.0], [32.1,3.0], [29.9,4.0]]", "[[33.3,2.0], [28.8,5.0], [32.1,3.0], [29.9,4.0], [32.1,3.0], [29.9,4.0], [35.5,2.0], [29.8,5.0], [32.2,3.0], [32.0,4.0]]", 10
50, 2.782618267, "[[33.3,2.0], [27.700000000000003,5.0], [29.9,4.0], [32.1,3.0]]", "[[33.3,2.0], [27.700000000000003,5.0], [29.9,4.0], [32.1,3.0], [32.1,3.0], [29.9,4.0], [29.9,4.0], [28.8,5.0], [35.5,2.0], [32.2,3.0]]", 10
60, 3.04071998, "[[33.3,2.0], [26.6,6.0], [29.9,4.0], [32.1,3.0], [27.700000000000003,5.0]]", "[[33.3,2.0], [26.6,6.0], [29.9,4.0], [32.1,3.0], [27.700000000000003,5.0], [32.1,3.0], [29.9,4.0], [29.9,4.0], [27.700000000000003,5.0], [35.5,2.0]]", 10
70, 3.2251014760000003, "[[33.3,2.0], [24.4,7.0], [29.9,4.0], [27.700000000000003,5.0], [32.1,3.0], [25.5,6.0]]", "[[33.3,2.0], [24.4,7.0], [29.9,4.0], [27.700000000000003,5.0], [32.1,3.0], [25.5,6.0], [32.1,3.0], [29.9,4.0], [29.9,4.0], [27.700000000000003,5.0]]", 10
80, 3.363899325, "[[33.3,2.0], [24.4,7.0], [29.9,4.0], [27.700000000000003,5.0], [32.1,3.0], [25.5,6.0]]", "[[33.3,2.0], [24.4,7.0], [29.9,4.0], [27.700000000000003,5.0], [32.1,3.0], [25.5,6.0], [32.1,3.0], [29.9,4.0], [29.9,4.0], [27.700000000000003,5.0]]", 10
90, 3.537191769, "[[33.3,2.0], [24.4,7.0], [29.9,4.0], [27.700000000000003,5.0], [32.1,3.0], [25.5,6.0]]", "[[33.3,2.0], [24.4,7.0], [29.9,4.0], [27.700000000000003,5.0], [32.1,3.0], [25.5,6.0], [32.1,3.0], [29.9,4.0], [29.9,4.0], [27.700000000000003,5.0]]", 10
100, 3.6207639530000004, "[[33.3,2.0], [24.4,7.0], [29.9,4.0], [27.700000000000003,5.0], [32.1,3.0], [25.5,6.0]]", "[[33.3,2.0], [24.4,7.0], [29.9,4.0], [27.700000000000003,5.0], [32.1,3.0], [25.5,6.0], [32.1,3.0], [29.9,4.0], [29.9,4.0], [27.700000000000003,5.0]]", 10
110, 3.722509318, "[[33.3,2.0], [24.4,7.0], [29.9,4.0], [27.700000000000003,5.0], [32.1,3.0], [25.5,6.0]]", "[[33.3,2.0], [24.4,7.0], [29.9,4.0], [27.700000000000003,5.0], [32.1,3.0], [25.5,6.0], [32.1,3.0], [29.9,4.0], [29.9,4.0], [27.700000000000003,5.0]]", 10
120, 3.7973209060000004, "[[33.3,2.0], [24.4,7.0], [29.9,4.0], [27.700000000000003,5.0], [32.1,3.0], [25.5,6.0]]", "[[33.3,2.0], [24.4,7.0], [29.9,4.0], [27.700000000000003,5.0], [32.1,3.0], [25.5,6.0], [32.1,3.0], [29.9,4.0], [29.9,4.0], [27.700000000000003,5.0]]", 10
130, 3.9600195570000003, "[[33.3,2.0], [24.4,7.0], [29.9,4.0], [27.700000000000003,5.0], [32.1,3.0], [25.5,6.0]]", "[[33.3,2.0], [24.4,7.0], [29.9,4.0], [27.700000000000003,5.0], [32.1,3.0], [25.5,6.0], [32.1,3.0], [29.9,4.0], [29.9,4.0], [27.700000000000003,5.0]]", 10
140, 4.151535265000001, "[[33.3,2.0], [24.4,7.0], [29.9,4.0], [27.700000000000003,5.0], [32.1,3.0], [25.5,6.0]]", "[[33.3,2.0], [24.4,7.0], [29.9,4.0], [27.700000000000003,5.0], [32.1,3.0], [25.5,6.0], [32.1,3.0], [29.9,4.0], [29.9,4.0], [27.700000000000003,5.0]]", 10
150, 4.265832518, "[[33.3,2.0], [24.4,7.0], [29.9,4.0], [27.700000000000003,5.0], [32.1,3.0], [25.5,6.0]]", "[[33.3,2.0], [24.4,7.0], [29.9,4.0], [27.700000000000003,5.0], [32.1,3.0], [25.5,6.0], [32.1,3.0], [29.9,4.0], [29.9,4.0], [27.700000000000003,5.0]]", 10
160, 4.507597363, "[[33.3,2.0], [24.4,7.0], [29.9,4.0], [27.700000000000003,5.0], [32.1,3.0], [25.5,6.0]]", "[[33.3,2.0], [24.4,7.0], [29.9,4.0], [27.700000000000003,5.0], [32.1,3.0], [25.5,6.0], [32.1,3.0], [29.9,4.0], [29.9,4.0], [27.700000000000003,5.0]]", 10
170, 4.692199529000001, "[[33.3,2.0], [24.4,7.0], [29.9,4.0], [27.700000000000003,5.0], [32.1,3.0], [25.5,6.0]]", "[[33.3,2.0], [24.4,7.0], [29.9,4.0], [27.700000000000003,5.0], [32.1,3.0], [25.5,6.0], [32.1,3.0], [29.9,4.0], [29.9,4.0], [27.700000000000003,5.0]]", 10
