NFE, Elapsed Time, Approximation Set, Population, Population Size
10, 1.700243178, "[[34.400000000000006,2.0]]", "[[37.6,2.0], [35.400000000000006,2.0], [35.400000000000006,2.0], [34.400000000000006,2.0], [36.5,2.0], [37.6,2.0], [35.400000000000006,2.0], [38.6,2.0], [38.6,2.0], [38.6,2.0]]", 10
20, 2.435576954, "[[34.400000000000006,2.0], [33.2,3.0]]", "[[34.400000000000006,2.0], [33.2,3.0], [33.2,3.0], [35.400000000000006,2.0], [33.3,3.0], [35.400000000000006,2.0], [35.400000000000006,2.0], [36.5,2.0], [34.3,3.0], [34.3,3.0]]", 10
30, 2.706659283, "[[34.400000000000006,2.0], [31.1,4.0], [32.1,3.0]]", "[[34.400000000000006,2.0], [31.1,4.0], [32.1,3.0], [35.400000000000006,2.0], [32.1,4.0], [32.2,3.0], [35.400000000000006,2.0], [35.400000000000006,2.0], [36.5,2.0], [33.1,4.0]]", 10
40, 2.967968909, "[[34.400000000000006,2.0], [29.9,4.0], [32.1,3.0]]", "[[34.400000000000006,2.0], [29.9,4.0], [32.1,3.0], [32.1,3.0], [35.400000000000006,2.0], [30.0,5.0], [32.2,3.0], [31.0,4.0], [35.400000000000006,2.0], [35.400000000000006,2.0]]", 10
50, 3.324850463, "[[34.400000000000006,2.0], [28.700000000000003,5.0], [32.1,3.0], [29.9,4.0]]", "[[34.400000000000006,2.0], [28.700000000000003,5.0], [32.1,3.0], [29.9,4.0], [32.1,3.0], [32.1,3.0], [35.400000000000006,2.0], [28.8,5.0], [32.2,3.0], [31.0,4.0]]", 10
60, 3.468983059, "[[34.400000000000006,2.0], [26.6,6.0], [32.1,3.0], [29.9,4.0], [28.700000000000003,5.0]]", "[[34.400000000000006,2.0], [26.6,6.0], [32.1,3.0], [29.9,4.0], [28.700000000000003,5.0], [32.1,3.0], [32.1,3.0], [32.1,3.0], [29.9,4.0], [35.400000000000006,2.0]]", 10
70, 3.914256427, "[[34.400000000000006,2.0], [26.6,6.0], [32.1,3.0], [29.9,4.0], [28.700000000000003,5.0]]", "[[34.400000000000006,2.0], [26.6,6.0], [32.1,3.0], [29.9,4.0], [28.700000000000003,5.0], [32.1,3.0], [32.1,3.0], [32.1,3.0], [29.9,4.0], [28.700000000000003,5.0]]", 10
80, 4.124110512000001, "[[34.400000000000006,2.0], [25.5,7.0], [32.1,3.0], [29.9,4.0], [28.700000000000003,5.0], [26.6,6.0]]", "[[34.400000000000006,2.0], [25.5,7.0], [32.1,3.0], [29.9,4.0], [28.700000000000003,5.0], [26.6,6.0], [32.1,3.0], [32.1,3.0], [32.1,3.0], [29.9,4.0]]", 10
90, 4.332446395, "[[34.400000000000006,2.0], [25.5,7.0], [32.1,3.0], [29.9,4.0], [27.700000000000003,5.0], [26.6,6.0]]", "[[34.400000000000006,2.0], [25.5,7.0], [32.1,3.0], [29.9,4.0], [27.700000000000003,5.0], [26.6,6.0], [32.1,3.0], [32.1,3.0], [32.1,3.0], [29.9,4.0]]", 10
100, 4.6768441560000005, "[[34.400000000000006,2.0], [25.5,7.0], [32.1,3.0], [29.9,4.0], [27.700000000000003,5.0], [26.6,6.0]]", "[[34.400000000000006,2.0], [25.5,7.0], [32.1,3.0], [29.9,4.0], [27.700000000000003,5.0], [26.6,6.0], [32.1,3.0], [32.1,3.0], [32.1,3.0], [29.9,4.0]]", 10
110, 4.812253834000001, "[[34.400000000000006,2.0], [25.5,7.0], [32.1,3.0], [29.9,4.0], [27.700000000000003,5.0], [26.6,6.0]]", "[[34.400000000000006,2.0], [25.5,7.0], [32.1,3.0], [29.9,4.0], [27.700000000000003,5.0], [26.6,6.0], [32.1,3.0], [32.1,3.0], [32.1,3.0], [29.9,4.0]]", 10
120, 5.020558651, "[[34.400000000000006,2.0], [25.5,7.0], [32.1,3.0], [29.9,4.0], [27.700000000000003,5.0], [26.6,6.0]]", "[[34.400000000000006,2.0], [25.5,7.0], [32.1,3.0], [29.9,4.0], [27.700000000000003,5.0], [26.6,6.0], [32.1,3.0], [32.1,3.0], [32.1,3.0], [29.9,4.0]]", 10
